parent,verdict,ops,n_ops,nsym,spacegroup,msg_type,bns,uni,n_structures,n_altermagnet,n_verdict_changed_by_strain,sse_max_eV,sse_mean_eV,gamma_avg_max_meV,m1_abs_min_muB,m1_abs_max_muB,m_asymmetry_max_muB,m_total_abs_max_muB,n_with_m2,n_antiparallel
Co2Se2_3,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.450301,0.2989840588235294,1.55,2.344,2.574,0.001000000000000334,0.0,12,12
Bi4Cr2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.448353,0.38248135294117647,1.296,3.889,4.101,0.001000000000000334,0.001,12,12
Cr2Sb4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.437039,0.3924688823529412,0.181,3.656,3.986,0.001000000000000334,0.0,12,12
Ru2S8_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,9,9,0,0.425533,0.27533688888888885,2.308,0.003,0.852,0.005999999999999999,0.004,6,6
Bi8Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,3,3,0,0.425431,0.39793233333333333,2.196,1.348,1.492,0.001000000000000112,0.004,2,2
Bi2Nb2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,10,10,0,0.424535,0.1955776,1.669,0.02,0.737,0.003999999999999976,0.004,7,7
Ni2Se3_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Imm2,3,44.231,329,7,6,1,0.420565,0.37126657142857145,6.758,1.085,1.247,0.0020000000000000018,0.004,3,3
F6Mn2_5,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pbam,3,55.357,455,17,17,0,0.415782,0.30722258823529414,0.62,3.736,3.931,0.0009999999999998899,0.0,12,12
Ru2S2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.40962,0.3493300588235294,2.801,0.265,0.431,0.0010000000000000009,0.0,12,12
O6Ru2_2,ALTERMAGNET,rotation,1,2,C2,3,5.15,22,9,9,0,0.406688,0.33980588888888885,2.566,0.996,1.46,0.0050000000000001155,0.001,4,4
Cl6Pd2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,10,9,1,0.402267,0.2850199,8.62,0.321,0.544,0.0020000000000000018,0.004,5,5
P8V2_2,ALTERMAGNET,rotation,1,2,P2_1,3,4.9,16,17,17,0,0.399545,0.3005612941176471,0.778,1.547,2.253,0.001000000000000334,0.001,12,12
Mo2N2_4,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,16,16,0,0.397349,0.3149693125,1.499,1.429,2.102,0.001000000000000112,0.003,12,12
Cr2Te8_2,compensated_FiM_candidate,,0,2,P-1,1,2.4,4,2,0,0,0.397148,0.37812100000000004,8.347,3.624,3.71,,0.001,0,0
F4Ni2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.395285,0.3384741176470588,0.714,1.873,1.886,0.0,0.0,12,12
In8Mn2_3,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4/mbm,3,127.393,1053,16,16,0,0.389164,0.321639125,0.824,4.258,4.557,0.001000000000000334,0.003,11,11
Bi8Ru2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4/mbm,3,127.393,1053,10,10,0,0.388722,0.3501577,1.802,1.127,1.867,0.0030000000000001137,0.004,7,7
Cr2Ge2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,14,14,0,0.379737,0.31753892857142857,4.195,3.739,3.971,0.0009999999999998899,0.001,10,10
Se2Ti2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,6,6,0,0.378571,0.25739033333333333,4.126,0.012,1.338,0.0,0.003,1,1
Co2Sn4_2,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,7,7,0,0.376827,0.19437485714285715,3.462,0.002,1.272,0.0010000000000000009,0.003,5,4
B2Co2_5,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Imm2,3,44.231,329,6,6,0,0.376727,0.34706466666666663,1.537,0.247,0.542,0.0020000000000000018,0.003,3,3
Cl4Nb2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Imm2,3,44.231,329,9,9,0,0.370204,0.24595922222222225,0.953,2.278,2.606,0.0009999999999998899,0.0,4,4
F6Ru2_2,ALTERMAGNET,rotation,6,12,P6_322,3,182.181,1411,17,17,0,0.367202,0.3089998823529412,1.544,4.005,4.171,0.0,0.0,12,12
Cr2In2_5,compensated_FiM_candidate,,0,1,P1,1,1.1,1,14,0,0,0.367198,0.30163407142857146,8.572,4.014,4.191,0.002000000000000668,0.004,9,9
Te4V2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cm,3,8.34,41,5,5,0,0.359068,0.2966078,3.705,2.577,2.727,,0.0,0,0
F6Mn2_4,ALTERMAGNET,rotation,2,4,C222_1,3,20.34,132,17,17,0,0.355257,0.3027815294117647,1.884,3.72,3.935,0.0,0.0,12,12
Co2F6_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.355064,0.28408955555555554,5.15,3.164,3.189,0.0,0.0,4,4
Fe2N2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.346473,0.26611611764705884,0.174,3.73,3.992,0.001000000000000334,0.0,12,12
Ga2Ru2_4,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,12,12,0,0.340839,0.2789063333333333,1.74,0.736,1.255,0.0020000000000000018,0.001,10,10
Cl6Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,5,5,0,0.340092,0.3341892,2.945,3.887,4.323,,0.0,0,0
I4Rh2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,13,13,0,0.333762,0.31794676923076926,0.736,0.783,0.879,0.0010000000000000009,0.0,12,12
Br4Mo2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.332765,0.24791000000000002,0.893,3.386,3.534,0.0,0.0,12,12
N4Nb2_4,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.330481,0.2695935882352941,4.434,0.456,0.801,0.0,0.0,12,12
F8Ni2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,0.329039,0.28937522222222223,0.817,2.231,2.362,0.0,0.0,4,4
Rh2Tl2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,2,2,0,0.324027,0.282354,2.187,0.13,0.448,0.0,0.004,1,1
F4Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.323907,0.30005670588235295,0.202,4.649,4.699,0.0,0.0,12,12
Cu2F6_2,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,13,9,4,0.322681,0.2783176153846154,5.488,1.061,1.14,0.001000000000000112,0.0,8,8
Mn2Te8_3,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/m,3,12.62,69,7,5,2,0.318266,0.2760755714285714,6.69,4.285,4.539,0.0,0.004,2,2
Mn2Pb8_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,P-42_1c,3,114.279,939,11,11,0,0.314496,0.26175454545454546,1.242,4.418,4.583,0.001000000000000334,0.004,8,8
Cu2O2_6,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,16,16,0,0.314263,0.2086029375,2.56,0.358,0.576,0.0010000000000000009,0.003,11,11
S2V2_3,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,14,14,0,0.313463,0.2682420714285714,0.862,2.605,2.727,0.0,0.0,9,9
I4Nb2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.31313,0.2244594705882353,0.523,2.355,2.642,0.001000000000000334,0.0,12,12
Ge2Ru2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.30688,0.2183624705882353,0.949,0.148,1.609,0.0030000000000000027,0.002,12,12
Mo2P8_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4/mbm,3,127.393,1053,11,11,0,0.306738,0.2281567272727273,1.695,0.689,1.865,0.0020000000000000018,0.002,6,6
O4V2_3,ALTERMAGNET,mirror/rotoinv,2,4,Fdd2,3,43.227,325,17,9,8,0.30224,0.1403739411764706,8.094,0.643,0.966,0.0010000000000000009,0.002,12,12
P2Zr2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,4,3,1,0.300662,0.21700799999999998,5.962,0.002,0.035,0.0030000000000000027,0.003,3,2
Co2P2_4,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,12,12,0,0.296743,0.19221091666666668,1.071,0.104,1.027,0.0030000000000001137,0.003,9,9
Mn2S2_2,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.286896,0.2025306470588235,0.894,4.455,4.611,0.001000000000000334,0.0,12,12
F6Pd2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,5,5,0,0.284915,0.24286820000000003,6.3,0.662,0.752,,0.0,0,0
F6Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,13,9,4,0.283898,0.22166261538461537,8.188,4.36,4.368,0.0,0.0,8,8
Bi6Cr2_4,compensated_FiM_candidate,,0,1,P1,1,1.1,1,5,0,0,0.282383,0.2524328,9.961,4.101,4.136,0.0019999999999997797,0.004,3,3
Cr2F8_cluster1,ALTERMAGNET,rotation,1,2,C2,3,5.15,22,5,5,0,0.282304,0.2634856,7.316,1.951,2.243,,0.0,0,0
Cr2F8_cluster2,ALTERMAGNET,mirror/rotoinv,2,4,Fdd2,3,43.227,325,5,5,0,0.28095,0.20176220000000003,1.947,1.961,2.251,,0.0,0,0
Br4V2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.268834,0.201086,1.685,2.694,2.765,0.0,0.0,12,12
Cl4Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I-42d,3,122.337,997,17,17,0,0.268281,0.1933290588235294,1.011,2.488,2.663,0.001000000000000334,0.0,12,12
Bi8Cr2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I-42d,3,122.337,997,17,17,0,0.26792,0.2306809411764706,0.604,3.983,4.163,0.001000000000000334,0.003,12,12
I6Nb2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,13,9,4,0.266269,0.20281730769230769,5.227,1.602,1.851,0.0009999999999998899,0.0,8,8
F6Nb2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,3,3,0,0.260821,0.24052966666666667,3.765,2.055,2.108,,0.001,0,0
Fe2I4_1,ALTERMAGNET,mirror/rotoinv,2,4,Fdd2,3,43.227,325,17,15,2,0.26021,0.22453117647058823,2.054,3.546,3.703,0.001000000000000334,0.0,12,12
F8Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,0.259269,0.20368,0.731,2.789,3.237,0.0,0.0,4,4
Cl4Nb2_2,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.249077,0.15175994117647057,7.481,2.477,2.742,0.0,0.0,12,12
Cr2F6_cluster2,ALTERMAGNET,rotation,6,12,P6_322,3,182.181,1411,5,5,0,0.247271,0.232131,1.049,2.864,2.974,,0.0,0,0
Mn2Se2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.24244,0.17154082352941177,0.486,4.486,4.623,0.0,0.0,12,12
O6Rh2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,9,5,4,0.240807,0.20023000000000002,9.746,0.188,0.536,0.0050000000000000044,0.003,8,8
Cl6Nb2_1,ALTERMAGNET,rotation,1,2,C2,3,5.15,22,11,5,6,0.238798,0.1904340909090909,9.799,1.551,1.818,0.0020000000000000018,0.002,6,6
Mn2O2_5,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.238307,0.21063817647058825,0.985,4.495,4.617,0.0,0.0,12,12
O4Ru2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Ima2,3,46.244,342,14,7,7,0.233842,0.17434449999999999,8.429,1.378,1.684,0.0029999999999998916,0.002,10,10
Cd2F6_3,ALTERMAGNET,rotation,1,2,P2_1,3,4.9,16,1,1,0,0.224365,0.224365,2.334,0.003,0.003,,0.0,0,0
I4Ni2_1,ALTERMAGNET,mirror/rotoinv,2,4,Fdd2,3,43.227,325,13,9,4,0.212684,0.18954438461538461,9.713,1.583,1.756,0.0029999999999998916,0.001,8,8
Ni2P4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,5,5,0,0.209359,0.0729568,0.37,0.004,0.045,0.001,0.001,3,3
Tl2Zr2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,2,2,0,0.208771,0.17141050000000002,0.848,0.235,0.369,,0.003,0,0
O2V2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.206362,0.1769710588235294,0.132,2.575,2.681,0.0,0.0,12,12
Br4Cu2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I-42d,3,122.337,997,17,17,0,0.20599,0.16285470588235296,1.872,0.4,0.521,0.0010000000000000009,0.0,12,12
F6Ru2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,11,9,2,0.205619,0.12423663636363637,9.21,3.993,4.17,0.0,0.0,6,6
N2V2_7,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,16,16,0,0.18963,0.144103125,2.981,1.755,1.899,0.001000000000000112,0.001,12,12
F8V2_1,ALTERMAGNET,rotation,1,2,C2,3,5.15,22,9,9,0,0.182574,0.16154888888888888,2.71,0.965,1.061,0.0009999999999998899,0.0,4,4
F10Zr2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cm,3,8.34,41,1,1,0,0.181246,0.181246,1.674,0.002,0.002,,0.0,0,0
Cr2F6_cluster1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,5,5,0,0.177898,0.124152,0.323,2.861,2.966,,0.0,0,0
Br6Pd2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,13,9,4,0.165181,0.14611676923076924,9.321,0.243,0.47,0.006000000000000005,0.001,8,8
Cl4Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I-42d,3,122.337,997,17,17,0,0.163679,0.130608,1.601,3.603,3.731,0.0009999999999998899,0.0,12,12
Cl6Pd2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,9,9,0,0.161832,0.14805866666666667,0.854,0.389,0.572,0.0,0.0,4,4
B2Fe2_4,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.267,1497,14,0,0,0.155382,0.10200200000000001,5.98,2.336,2.993,0.0030000000000001137,0.004,9,9
F4Sc2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,5,5,0,0.151468,0.1313364,3.68,0.191,0.756,0.0020000000000000018,0.004,3,3
F6V2_2,ALTERMAGNET,rotation,6,12,P6_322,3,182.181,1411,14,14,0,0.146712,0.09447942857142858,1.038,1.869,1.923,0.001000000000000112,0.0,9,9
F6Fe2_2,ALTERMAGNET,rotation,3,6,R32,3,155.47,1277,12,9,3,0.143512,0.10448058333333332,9.675,4.357,4.37,0.0009999999999994458,0.0,7,7
F6Mo2_3,ALTERMAGNET,rotation,6,12,P6_322,3,182.181,1411,17,17,0,0.137466,0.09519388235294117,0.713,2.644,2.73,0.0,0.0,12,12
Cl6Ti2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,9,9,0,0.124972,0.08993122222222222,0.578,0.86,0.935,0.0,0.0,4,4
Cr2F4_cluster1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,5,5,0,0.120983,0.1065976,1.999,3.772,3.809,,0.0,0,0
Ge2Mn2_3,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,8,3,5,0.109442,0.097897625,6.758,4.206,4.38,0.0030000000000001137,0.003,5,5
F6V2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,8,8,0,0.106271,0.073087625,1.89,1.881,1.919,0.0,0.0,4,4
Co2N6_1,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/c,3,15.88,95,10,0,0,0.104351,0.0254953,4.659,2.003,2.352,0.0030000000000001137,0.004,7,7
I4Ti2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,16,16,0,0.101853,0.064359375,1.437,1.635,1.706,0.001000000000000112,0.0,12,12
Fe2Sn8_2,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,3,12.61,68,11,0,0,0.099564,0.01727827272727273,1.242,2.997,3.235,0.0019999999999997797,0.004,9,9
F6Zr2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.093015,0.05675322222222222,1.409,0.707,0.778,0.0,0.0,4,4
F4V2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.092803,0.06073582352941177,1.261,2.746,2.769,0.0,0.0,12,12
F4Y2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,1,1,0,0.091759,0.091759,1.49,0.057,0.057,,0.003,0,0
F6Mo2_2,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,13,9,4,0.087729,0.06332592307692307,9.306,2.641,2.726,0.0009999999999998899,0.0,8,8
F6Ti2_4,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,9,9,0,0.082863,0.05543111111111111,1.87,0.891,0.923,0.0,0.0,4,4
Al2Fe2_2,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,12,0,0,0.082671,0.0199865,3.702,2.67,3.225,0.002000000000000224,0.004,9,9
F6Ti2_3,ALTERMAGNET,rotation,2,4,C222_1,3,20.34,132,17,17,0,0.081511,0.05446152941176471,0.856,0.881,0.919,0.0,0.0,12,12
B2Rh2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,8,8,0,0.080466,0.05883775,0.081,0.039,0.187,0.0010000000000000009,0.0,7,7
Ag2F6_3,compensated_FiM_candidate,,0,2,P-1,1,2.4,4,9,0,0,0.077982,0.032411111111111106,2.191,0.004,0.109,0.0010000000000000009,0.003,6,6
Fe2Sn3_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,14,0,0,0.077003,0.03377864285714286,4.501,3.04,3.223,0.0029999999999996696,0.003,10,10
O2Y2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,1,1,0,0.074901,0.074901,4.498,0.244,0.244,,0.0,0,0
Ru2Si1_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,24,48,Fm-3m,3,225.118,1620,5,0,0,0.074692,0.018734999999999998,0.806,0.002,0.173,0.0010000000000000009,0.001,4,4
F8Nb2_3,ALTERMAGNET,mirror/rotoinv,2,4,Fdd2,3,43.227,325,9,9,0,0.073882,0.05649077777777778,2.93,1.009,1.09,0.001000000000000112,0.0,4,4
Pb2Sc2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,13,13,0,0.071596,0.024420538461538462,1.796,0.002,0.054,0.0040000000000000036,0.004,11,10
O2Y2_4,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mmc,3,131.439,1099,1,1,0,0.065278,0.065278,1.059,0.013,0.013,,0.002,0,0
Mn2P2_4,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,12,24,R-3m,0,determination_failed,0,12,0,0,0.062197,0.056806749999999996,6.886,3.953,4.258,0.0039999999999995595,0.004,8,8
O2Sc2_2,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.061831,0.04021188235294118,1.801,0.322,0.364,0.0010000000000000009,0.0,12,12
Mo2Sn4_1,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,I4/mcm,3,140.549,1209,8,0,0,0.05732,0.01177275,0.607,0.887,2.191,0.002000000000000224,0.003,7,7
Fe2Sn10_2,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,I4/mcm,3,140.549,1209,13,0,0,0.052604,0.013217846153846153,2.072,3.156,3.44,0.001000000000000334,0.004,10,10
Te4Ti2_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,4,0,0,0.050102,0.03769375,5.369,0.98,1.165,,0.002,0,0
F6Zr2_4,ALTERMAGNET,rotation,1,2,P2_1,3,4.9,16,16,16,0,0.047639,0.03185725,1.66,0.794,0.811,0.0010000000000000009,0.0,11,11
Al10Fe2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4_1/amd,3,141.558,1218,7,0,0,0.047069,0.03260871428571428,6.381,2.798,3.26,0.0040000000000000036,0.004,4,4
Fe2Ge1_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4/mmm,3,139.538,1198,17,0,0,0.045156,0.03152241176470588,2.298,2.806,3.05,0.0019999999999997797,0.002,12,12
O5Ru2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmmm,3,65.483,581,14,0,0,0.043244,0.02577785714285714,3.096,1.36,1.8,0.0030000000000001137,0.002,11,11
Co2Pb2_4,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,4,8,C2/m,4,12.63,70,7,0,0,0.041393,0.019674857142857143,8.429,1.886,1.987,0.001000000000000112,0.004,5,5
Ni2Sb4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,1,1,0,0.039721,0.039721,0.224,0.009,0.009,,0.001,0,0
O4Y2_5,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,1,1,0,0.039677,0.039677,0.275,0.002,0.002,,0.002,0,0
As2Ni2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,6,6,0,0.039255,0.013815666666666665,0.504,0.002,0.019,0.002,0.001,5,5
Sc2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,8,8,0,0.039192,0.0207265,1.611,0.004,0.052,0.003999999999999999,0.003,7,7
Fe2Ge4_2,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,I4/mcm,3,140.549,1209,7,0,0,0.03755,0.014957,3.413,2.874,3.231,0.0009999999999998899,0.004,5,5
Mn2O2_7,compensated_FiM_candidate,,0,2,Cm,1,8.32,39,16,0,0,0.036557,0.0334645,9.818,4.448,4.599,0.001000000000000334,0.0,11,11
Pb10Ru2_1,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,I4/mcm,3,140.549,1209,9,0,0,0.033355,0.02344911111111111,2.565,1.894,2.22,0.0030000000000001137,0.004,7,7
P1Ru2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,24,48,Fm-3m,3,225.118,1620,2,0,0,0.032721,0.022133,2.711,0.645,1.44,,0.004,0,0
Pb3Ru2_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,8,0,0,0.032608,0.019946875,4.775,1.695,2.297,0.0030000000000001137,0.004,5,5
Fe2Ga5_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,14,0,0,0.030495,0.0125445,2.056,2.811,3.034,0.0029999999999996696,0.004,12,12
F6Ti2_6,ALTERMAGNET,rotation,1,2,C2,3,5.15,22,4,3,1,0.029379,0.019591749999999998,8.411,0.881,0.908,0.0,0.001,1,1
Mn2O3_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,17,0,0,0.029015,0.024472176470588233,5.226,3.686,3.983,0.001000000000000334,0.0,12,12
Cr2In5_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,12,0,0,0.028166,0.02156075,4.141,4.059,4.225,0.002000000000000668,0.003,7,7
B2Fe2_5,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,9,0,0,0.028123,0.01286388888888889,2.614,3.05,3.236,0.002000000000000224,0.002,7,7
In6Mo2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Pmmn,3,59.408,506,3,0,0,0.027712,0.026998333333333333,3.756,3.464,3.633,0.006000000000000227,0.004,2,2
Mn2Te3_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4/mmm,3,139.533,1193,10,0,0,0.025602,0.024319,2.133,4.42,4.553,0.0019999999999997797,0.004,8,8
Mn2Sn3_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,P-3m1,3,164.87,1317,14,0,0,0.025482,0.020368285714285717,4.49,4.215,4.523,0.0030000000000001137,0.004,10,10
Fe2Si2_4,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,P4/nmm,3,129.413,1073,11,0,0,0.023373,0.009722636363636364,7.519,2.51,2.982,0.0030000000000001137,0.003,9,9
Cr2S2_3,compensated_FiM_candidate,,0,1,P1,1,1.1,1,17,0,2,0.02336,0.020358588235294118,7.249,3.698,3.813,0.0009999999999998899,0.002,12,12
Mn2Tl13_1,compensated_FiM_candidate,,0,1,P1,1,1.1,1,12,0,0,0.023312,0.019379416666666666,4.394,4.464,4.612,0.001000000000000334,0.004,8,8
Bi4V2_1,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,3,12.61,68,7,0,0,0.022759,0.01526157142857143,2.714,2.63,2.766,0.0019999999999997797,0.003,5,5
Cr2Pb13_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,15,0,4,0.022564,0.018985533333333336,2.443,4.15,4.27,0.001000000000000334,0.004,11,11
Ge2V2_2,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.267,1497,11,0,0,0.021388,0.01358781818181818,3.873,2.535,2.699,0.0030000000000001137,0.004,9,9
P8Zr2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,8,8,0,0.020595,0.0073922499999999995,0.572,0.002,0.022,0.002,0.002,7,7
Fe2Ge1_2,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,11,0,0,0.019666,0.017303,6.781,2.985,3.121,0.0030000000000001137,0.003,8,8
