filename,sg,verdict,ops,n_ops,nsym
Fe2Te2_1_st950,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_st975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_x025,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te2_1_x050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te2_1_y025,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te2_1_y950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te2_1_y975,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te2_1_z025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_z050,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_z950,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_z975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_st025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_st050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_st950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_st975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_x025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_x050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_x950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_x975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_y025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_y050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_y950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_y975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_z025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_z050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_z950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te4_1_z975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te6_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Te6_1_x025,P-1,compensated_FiM_candidate,,0,2
Fe2Tl3_1,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_st050,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_st950,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_st975,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_x050,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
Fe2Tl3_1_x975,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
Fe2Tl3_1_y025,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_y950,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_y975,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Tl3_1_z025,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
Fe2Tl3_1_z050,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
Fe2Tl3_1_z950,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
