trial_number,value,best_sse_overall
319,0.6727042198181152,0.836790919303894
320,0.3115550279617309,0.836790919303894
321,0.6331508159637451,0.836790919303894
322,0.6552451848983765,0.836790919303894
323,0.6474528312683105,0.836790919303894
324,0.636410117149353,0.836790919303894
325,0.6585938930511475,0.836790919303894
326,0.6426827907562256,0.836790919303894
327,0.4477419257164001,0.836790919303894
328,0.5582635402679443,0.836790919303894
329,0.4171531498432159,0.836790919303894
330,0.5765546560287476,0.836790919303894
331,0.6209614276885986,0.836790919303894
332,0.7220085859298706,0.836790919303894
333,0.5581320524215698,0.836790919303894
334,0.5974466800689697,0.836790919303894
335,0.5639563798904419,0.836790919303894
336,0.6131453514099121,0.836790919303894
337,0.5769246816635132,0.836790919303894
338,0.7060165405273438,0.836790919303894
339,0.3664909899234772,0.836790919303894
340,0.7935752868652344,0.836790919303894
341,0.7234033346176147,0.836790919303894
342,0.7583590745925903,0.836790919303894
343,0.6778227090835571,0.836790919303894
344,0.427695482969284,0.836790919303894
345,0.7694562673568726,0.836790919303894
346,0.5979506969451904,0.836790919303894
347,0.5266640186309814,0.836790919303894
348,0.8078745603561401,0.836790919303894
349,0.6816222667694092,0.836790919303894
350,0.3671033978462219,0.836790919303894
351,0.3672905266284942,0.836790919303894
352,0.5960235595703125,0.836790919303894
353,0.4470499157905578,0.836790919303894
354,0.5244039297103882,0.836790919303894
355,0.7019219398498535,0.836790919303894
356,0.4675925672054291,0.836790919303894
357,0.6695636510848999,0.836790919303894
358,0.563886284828186,0.836790919303894
359,0.6286096572875977,0.836790919303894
360,0.5794569253921509,0.836790919303894
361,0.4443540871143341,0.836790919303894
362,0.6373089551925659,0.836790919303894
363,0.4597881138324737,0.836790919303894
364,0.5944674015045166,0.836790919303894
365,0.5535153150558472,0.836790919303894
366,0.6465600728988647,0.836790919303894
367,0.732937216758728,0.836790919303894
368,0.6308140754699707,0.836790919303894
369,0.7063719034194946,0.836790919303894
370,0.6430507898330688,0.836790919303894
371,0.5966624021530151,0.836790919303894
372,0.4594243168830871,0.836790919303894
373,0.724067211151123,0.836790919303894
374,0.5451798439025879,0.836790919303894
375,0.7982461452484131,0.836790919303894
376,0.6772198677062988,0.836790919303894
377,0.6407582759857178,0.836790919303894
378,0.549915075302124,0.836790919303894
379,0.7711011171340942,0.836790919303894
380,0.5222636461257935,0.836790919303894
381,0.5678912401199341,0.836790919303894
382,0.5117791891098022,0.836790919303894
383,0.3046319186687469,0.836790919303894
384,0.6907757520675659,0.836790919303894
385,0.4093272387981415,0.836790919303894
386,0.4262533485889435,0.836790919303894
387,0.7477043867111206,0.836790919303894
388,0.7578284740447998,0.836790919303894
389,0.7009044885635376,0.836790919303894
390,0.5819234848022461,0.836790919303894
391,0.6414949893951416,0.836790919303894
392,0.5388171672821045,0.836790919303894
393,0.8075329065322876,0.836790919303894
394,0.4536621272563934,0.836790919303894
395,0.7688547372817993,0.836790919303894
396,0.7031675577163696,0.836790919303894
397,0.5774480104446411,0.836790919303894
398,0.5988790988922119,0.836790919303894
399,0.7734549045562744,0.836790919303894
400,0.6934387683868408,0.836790919303894
401,0.5964782238006592,0.836790919303894
402,0.6406469345092773,0.836790919303894
403,0.3783727586269378,0.836790919303894
404,0.4184811413288116,0.836790919303894
405,0.6130104064941406,0.836790919303894
406,0.7309366464614868,0.836790919303894
407,0.784333348274231,0.836790919303894
408,0.36871138215065,0.836790919303894
409,0.6622442007064819,0.836790919303894
410,0.771030068397522,0.836790919303894
411,0.7426548004150391,0.836790919303894
412,0.3216879069805145,0.836790919303894
413,0.5158133506774902,0.836790919303894
414,0.5793063640594482,0.836790919303894
415,0.7049365043640137,0.836790919303894
416,0.7912627458572388,0.836790919303894
417,0.7620669603347778,0.836790919303894
418,0.5453296899795532,0.836790919303894
419,0.2836517989635467,0.836790919303894
420,0.7755639553070068,0.836790919303894
421,0.4954284727573395,0.836790919303894
422,0.2197097390890121,0.836790919303894
423,0.5760517120361328,0.836790919303894
424,0.6397022008895874,0.836790919303894
425,0.7954357862472534,0.836790919303894
426,0.7184441089630127,0.836790919303894
427,0.7136901617050171,0.836790919303894
428,0.6917325258255005,0.836790919303894
429,0.7377681732177734,0.836790919303894
430,0.6583102941513062,0.836790919303894
431,0.7780910730361938,0.836790919303894
432,0.6382478475570679,0.836790919303894
433,0.5391584634780884,0.836790919303894
434,0.720645546913147,0.836790919303894
435,0.5508400201797485,0.836790919303894
436,0.6822218894958496,0.836790919303894
437,0.8351638317108154,0.836790919303894
438,0.7183213233947754,0.836790919303894
439,0.6773450374603271,0.836790919303894
440,0.5839709043502808,0.836790919303894
441,0.6907517910003662,0.836790919303894
442,0.403832346200943,0.836790919303894
443,0.6952650547027588,0.836790919303894
444,0.535840630531311,0.836790919303894
445,0.5971122980117798,0.836790919303894
446,0.6939034461975098,0.836790919303894
447,0.714667797088623,0.836790919303894
448,0.5971362590789795,0.836790919303894
449,0.5872323513031006,0.836790919303894
450,0.4973571002483368,0.836790919303894
451,0.5499521493911743,0.836790919303894
452,0.4725225269794464,0.836790919303894
453,0.5888123512268066,0.836790919303894
454,0.3086780607700348,0.836790919303894
455,0.7038438320159912,0.836790919303894
456,0.7016551494598389,0.836790919303894
457,0.4530040025711059,0.836790919303894
458,0.6966437101364136,0.836790919303894
459,0.6142014265060425,0.836790919303894
460,0.4643134474754333,0.836790919303894
461,0.6943130493164062,0.836790919303894
462,0.5840986967086792,0.836790919303894
463,0.4420844614505768,0.836790919303894
464,0.7853518724441528,0.836790919303894
465,0.5119518041610718,0.836790919303894
466,0.6206262111663818,0.836790919303894
467,0.4783592820167541,0.836790919303894
468,0.6263340711593628,0.836790919303894
469,0.6751575469970703,0.836790919303894
470,0.535612940788269,0.836790919303894
471,0.6864008903503418,0.836790919303894
472,0.7036556005477905,0.836790919303894
473,0.6276040077209473,0.836790919303894
474,0.6716028451919556,0.836790919303894
475,0.7219879627227783,0.836790919303894
476,0.7591607570648193,0.836790919303894
477,0.4223880171775818,0.836790919303894
478,0.6496850252151489,0.836790919303894
479,0.3015706837177276,0.836790919303894
480,0.8074049949645996,0.836790919303894
481,0.7623646259307861,0.836790919303894
482,0.6933155059814453,0.836790919303894
483,0.7257957458496094,0.836790919303894
484,0.8494633436203003,0.8494633436203003
485,0.746550440788269,0.8494633436203003
486,0.3963307738304138,0.8494633436203003
487,0.5773122310638428,0.8494633436203003
488,0.6802546977996826,0.8494633436203003
489,0.4320280253887176,0.8494633436203003
490,0.6568590402603149,0.8494633436203003
491,0.5389916896820068,0.8494633436203003
492,0.7020478248596191,0.8494633436203003
493,0.7794065475463867,0.8494633436203003
494,0.5729837417602539,0.8494633436203003
495,0.7960042953491211,0.8494633436203003
496,0.7099964618682861,0.8494633436203003
497,0.4244331121444702,0.8494633436203003
498,0.6245702505111694,0.8494633436203003
499,0.7800673246383667,0.8494633436203003
500,0.5461581945419312,0.8494633436203003
501,0.557746171951294,0.8494633436203003
502,0.5484297275543213,0.8494633436203003
503,0.7239810228347778,0.8494633436203003
504,0.5745712518692017,0.8494633436203003
505,0.5382243394851685,0.8494633436203003
506,0.627334475517273,0.8494633436203003
507,0.7541095018386841,0.8494633436203003
508,0.7120319604873657,0.8494633436203003
509,0.4768745303153991,0.8494633436203003
510,0.5912438631057739,0.8494633436203003
511,0.8153713941574097,0.8494633436203003
512,0.566306471824646,0.8494633436203003
