filename,kp_idx,band,spin,mag_elem,nonmag_elem,s_tot,s_mag_tot,d_mag_tot,s_nonmag_tot,p_nonmag_tot,p_tot,d_tot,total_occ,s_global,p_global,d_global,pd_hybrid_minimum,pd_hybrid_geometric,pd_hybrid_product,p_to_d_ratio,sse,pd_ratio
POSCAR_F4Mn2_1_st975,249,26,down,Mn,F,0.015,0.005,0.674,0.01,0.258,0.258,0.674,0.9470000000000001,0.01583949313621964,0.27243928194297784,0.7117212249208026,0.5448785638859557,0.8806834152202483,0.7756032778440003,0.3827893175074184,0.285417,0.8333331944444675
POSCAR_F4Mn2_1_st975,249,26,up,Mn,F,0.02,0.006,0.728,0.014,0.194,0.194,0.728,0.942,0.021231422505307858,0.2059447983014862,0.772823779193206,0.4118895966029724,0.7978948234661938,0.6366361493141485,0.2664835164835165,0.285417,0.8333331944444675
POSCAR_F4Mn2_1_x025,346,26,down,Mn,F,0.003,0.0,0.609,0.003,0.32300000000000006,0.32300000000000006,0.609,0.935,0.0032085561497326204,0.3454545454545455,0.6513368983957218,0.690909090909091,0.9486986711766126,0.9000291686922703,0.5303776683087029,0.280328,0.8333331944444675
POSCAR_F4Mn2_1_x025,346,26,up,Mn,F,0.022,0.01,0.697,0.012,0.2,0.2,0.697,0.9189999999999999,0.023939064200217627,0.21762785636561482,0.7584330794341676,0.43525571273122965,0.8125420980454612,0.6602246610961199,0.2869440459110474,0.280328,0.8333331944444675
POSCAR_F4Mn2_1_x050,256,27,down,Mn,F,0.005,0.001,0.604,0.004,0.334,0.334,0.604,0.9430000000000001,0.005302226935312831,0.35418875927889715,0.64050901378579,0.7083775185577943,0.9525987463769601,0.9074443715989559,0.5529801324503312,0.278836,0.8333331944444675
POSCAR_F4Mn2_1_x050,256,27,up,Mn,F,0.007,0.001,0.657,0.006,0.26,0.26,0.657,0.924,0.007575757575757576,0.2813852813852814,0.711038961038961,0.5627705627705628,0.8945968882750401,0.8003035925113847,0.395738203957382,0.278836,0.8333331944444675
POSCAR_F4Mn2_1_x950,251,26,down,Mn,F,0.008,0.0,0.663,0.008,0.261,0.261,0.663,0.932,0.008583690987124463,0.2800429184549356,0.7113733905579399,0.5600858369098712,0.8926703319883063,0.796860321612113,0.3936651583710407,0.317868,0.8333331944444675
POSCAR_F4Mn2_1_x950,251,26,up,Mn,F,0.022,0.008,0.725,0.014,0.172,0.172,0.725,0.9189999999999999,0.023939064200217627,0.18715995647442873,0.7889009793253536,0.37431991294885747,0.7685067936021578,0.5906026918126696,0.2372413793103448,0.317868,0.8333331944444675
POSCAR_F4Mn2_1_x975,250,26,down,Mn,F,0.009000000000000001,0.001,0.656,0.008,0.28500000000000003,0.28500000000000003,0.656,0.9500000000000001,0.009473684210526316,0.3,0.6905263157894737,0.6,0.910292029486894,0.8286315789473684,0.4344512195121952,0.315856,0.8333331944444675
POSCAR_F4Mn2_1_x975,250,26,up,Mn,F,0.019,0.007,0.7160000000000001,0.012,0.194,0.194,0.7160000000000001,0.929,0.02045209903121636,0.20882669537136705,0.7707212055974166,0.4176533907427341,0.8023644120162471,0.6437886496701779,0.270949720670391,0.315856,0.8333331944444675
