cohort,feature,seed,r2_log,r2_eV,n_tr,n_par,frac_am
sub_parent,_none_,33,0.48646258740817927,0.458224039779743,2273.8,190.6,0.7220703279762876
sub_parent,_none_,44,0.5793164556163064,0.5545248845026847,2274.6,189.6,0.7428214273856814
sub_parent,_none_,55,0.532984007451201,0.5058936106411178,2271.0,189.6,0.7432448510140253
sub_parent,_none_,66,0.5268234933811414,0.49172846319311847,2272.6,189.8,0.7317345947963487
sub_parent,_none_,77,0.5488420923987649,0.5154519696107039,2273.0,190.6,0.7402538362964002
sub_parent,_none_,88,0.5204980988116586,0.48974061805961266,2273.8,191.4,0.7421255879194548
sub_parent,_none_,99,0.5297408881692883,0.4906898765975857,2272.2,189.2,0.7313896440236277
sub_parent,_none_,111,0.5467184314275622,0.5188310709382737,2276.2,191.6,0.7183728995613132
sub_parent,_none_,123,0.5150585096330401,0.4879406657695855,2273.6,190.2,0.7426241773860959
sub_parent,_none_,234,0.5114243826742932,0.4840596266496713,2274.2,192.8,0.7306312943332097
sub_parent,_none_,345,0.5439638562544993,0.508671969686307,2272.2,189.8,0.7420114235574364
sub_parent,_none_,456,0.5314581782813054,0.510268346019124,2273.8,192.2,0.7409404745384618
sub_parent,_none_,567,0.5299670943392147,0.487781128011603,2273.4,189.0,0.7563663583726716
sub_parent,_none_,678,0.5102102997384562,0.48017906074537964,2272.4,187.8,0.739098967757562
sub_parent,_none_,789,0.5784753889735217,0.5648893293444439,2271.2,190.0,0.7500062863504213
sub_parent,_none_,890,0.4426014401676468,0.4184239910827666,2273.2,190.2,0.7280432598569206
sub_parent,_none_,901,0.5318071140578233,0.5074888421495891,2272.4,190.4,0.7385164003931639
sub_parent,_none_,1012,0.5234717732945029,0.4977440238436903,2273.0,190.8,0.7339156237553074
sub_parent,p_metric,11,0.40333244653328115,0.3931273130734132,2272.2,191.6,0.7442922944706863
sub_parent,p_metric,22,0.41624530229667556,0.3934613566168871,2271.4,191.4,0.7442788440784216
sub_parent,p_metric,33,0.3891025693651837,0.36910817476785085,2273.8,190.6,0.7220703279762876
sub_parent,p_metric,44,0.4875196237896835,0.4695509033894929,2274.6,189.6,0.7428214273856814
sub_parent,p_metric,55,0.4615122831145052,0.4440540507135088,2271.0,189.6,0.7432448510140253
sub_parent,p_metric,66,0.4386549129139763,0.40722162921293836,2272.6,189.8,0.7317345947963487
sub_parent,p_metric,77,0.45749982626016594,0.43010300431041515,2273.0,190.6,0.7402538362964002
sub_parent,p_metric,88,0.42851805836241197,0.4057203927948647,2273.8,191.4,0.7421255879194548
sub_parent,p_metric,99,0.39834570048388707,0.3684290642679354,2272.2,189.2,0.7313896440236277
sub_parent,p_metric,111,0.44794290576445783,0.43185282356319443,2276.2,191.6,0.7183728995613132
sub_parent,p_metric,123,0.3726866243385012,0.3551846656319215,2273.6,190.2,0.7426241773860959
sub_parent,p_metric,234,0.43642723442371756,0.41511814757579735,2274.2,192.8,0.7306312943332097
sub_parent,p_metric,345,0.43320151887389813,0.4017090956933722,2272.2,189.8,0.7420114235574364
sub_parent,p_metric,456,0.42037335261219444,0.4042634707254159,2273.8,192.2,0.7409404745384618
sub_parent,p_metric,567,0.4178331292527523,0.39479705878167226,2273.4,189.0,0.7563663583726716
sub_parent,p_metric,678,0.40066009660798496,0.38527907848153764,2272.4,187.8,0.739098967757562
sub_parent,p_metric,789,0.49001794157086676,0.4822343777070809,2271.2,190.0,0.7500062863504213
sub_parent,p_metric,890,0.3734510951733202,0.35148158197661616,2273.2,190.2,0.7280432598569206
sub_parent,p_metric,901,0.41091719787317493,0.3970121402103268,2272.4,190.4,0.7385164003931639
sub_parent,p_metric,1012,0.43678582456813386,0.42315475754376586,2273.0,190.8,0.7339156237553074
sub_row,_none_,11,0.5830303098522462,0.5658170541619252,2272.8,254.0,0.735214943903895
sub_row,_none_,22,0.5714524644001149,0.5471116103525187,2272.8,254.0,0.741806808129197
sub_row,_none_,33,0.5686563576696733,0.5452383425267762,2272.8,254.8,0.7408555744717332
sub_row,_none_,44,0.6189063444631859,0.6050113052980847,2272.8,254.2,0.7384662857181647
sub_row,_none_,55,0.6022860534579182,0.5825966920371053,2272.8,254.2,0.7429473368554803
sub_row,_none_,66,0.6038476901788783,0.5788637652197424,2272.8,253.4,0.7380787765800517
sub_row,_none_,77,0.6043266157626803,0.5797634762995694,2272.8,254.2,0.7391397919027858
sub_row,_none_,88,0.5785567143905168,0.5568281260519486,2272.8,253.6,0.736970072463274
sub_row,_none_,99,0.5539390727934039,0.5227873641182621,2272.8,254.8,0.7421475502327765
sub_row,_none_,111,0.6081441224878085,0.5876782046496792,2272.8,254.6,0.7419138822990984
sub_row,_none_,123,0.550920442395722,0.5241566341653212,2272.8,254.2,0.7406521864500037
sub_row,_none_,234,0.5475300680754487,0.5204435383498377,2272.8,254.6,0.7387919336217099
sub_row,_none_,345,0.5525521478114654,0.520957753173277,2272.8,254.6,0.7403397183285966
sub_row,_none_,456,0.5795164090877785,0.556634586392108,2272.8,255.6,0.738384436563811
sub_row,_none_,567,0.5935939446612476,0.5669742393737626,2272.8,255.4,0.7433747436743012
sub_row,_none_,678,0.5647461077272267,0.5377257732004184,2272.8,255.0,0.7395868204120222
sub_row,_none_,789,0.6235315341323995,0.6096220484694108,2272.8,254.2,0.7400325813771321
sub_row,_none_,890,0.5568055771343368,0.5268677109645956,2272.8,254.2,0.7370634864694413
sub_row,_none_,901,0.6102288302825722,0.5930668097369431,2272.8,253.2,0.7387600076439138
sub_row,_none_,1012,0.600061477287376,0.5812695484616364,2272.8,253.0,0.7374388496456157
sub_row,p_metric,11,0.5074776799217006,0.4901566342264202,2272.8,254.0,0.735214943903895
sub_row,p_metric,22,0.5016591280833718,0.486216033446477,2272.8,254.0,0.741806808129197
sub_row,p_metric,33,0.45976026648171797,0.4373882865642411,2272.8,254.8,0.7408555744717332
sub_row,p_metric,44,0.5315779807035786,0.5200647675361386,2272.8,254.2,0.7384662857181647
sub_row,p_metric,55,0.49825546882615923,0.4854300340796306,2272.8,254.2,0.7429473368554803
sub_row,p_metric,66,0.5201025615682832,0.49684532525307346,2272.8,253.4,0.7380787765800517
sub_row,p_metric,77,0.4855671490061414,0.47049868756079405,2272.8,254.2,0.7391397919027858
sub_row,p_metric,88,0.4898374697943134,0.4714877405901826,2272.8,253.6,0.736970072463274
sub_row,p_metric,99,0.45781173563759137,0.43526402351749494,2272.8,254.8,0.7421475502327765
sub_row,p_metric,111,0.5216502404024147,0.5086386253205499,2272.8,254.6,0.7419138822990984
sub_row,p_metric,123,0.4460302872665002,0.4237972900497974,2272.8,254.2,0.7406521864500037
sub_row,p_metric,234,0.46507400452193404,0.44559739699066225,2272.8,254.6,0.7387919336217099
sub_row,p_metric,345,0.46710078008789435,0.4379421841013875,2272.8,254.6,0.7403397183285966
sub_row,p_metric,456,0.5091846256974253,0.49699202551048327,2272.8,255.6,0.738384436563811
sub_row,p_metric,567,0.49860551702207623,0.48161579524022113,2272.8,255.4,0.7433747436743012
sub_row,p_metric,678,0.4652707290222484,0.44609048785975713,2272.8,255.0,0.7395868204120222
sub_row,p_metric,789,0.5336295617356133,0.5248805208404791,2272.8,254.2,0.7400325813771321
sub_row,p_metric,890,0.43983931422959854,0.4272826394263165,2272.8,254.2,0.7370634864694413
sub_row,p_metric,901,0.5103232571097167,0.4961387125422466,2272.8,253.2,0.7387600076439138
sub_row,p_metric,1012,0.5326259079599673,0.5192253799998727,2272.8,253.0,0.7374388496456157
