trial_rank,trial_number,trial_sse,trial_composition,trial_n_nonmag,similar_rank_local,similar_index,similar_cosine,similar_sq_distance,similar_filename,similar_sse,similar_xm_ratio,category
2,36958,1.0423521995544434,Fe-S,4,9,1592,0.6662422196263711,89.31438499994707,POSCAR_Cu2O2_1_z050,1.235626,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,10,1587,0.6641780775721745,89.54322506858665,POSCAR_Cu2O2_1_st05,1.117122,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,11,2598,0.6640255676860539,90.36383696192074,POSCAR_Mn2N2_3_st950,1.061157,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,12,2603,0.660736665333508,90.82861313087486,POSCAR_Mn2N2_3_z975,0.911785,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,13,2599,0.659577703147605,91.305399627968,POSCAR_Mn2N2_3_st975,0.968497,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,14,1588,0.6574310071273984,91.13399878046071,POSCAR_Cu2O2_1_st050,1.114514,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,15,2595,0.6522291904977815,92.68624192564342,POSCAR_Mn2N2_3,0.951758,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,16,1214,0.6438620073403263,94.15699401261524,POSCAR_Cr2O2_2_z025,1.117426,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,17,2596,0.6438308226467828,94.32017302586011,POSCAR_Mn2N2_3_st025,0.950584,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,18,2601,0.6403932536673921,95.00599510944849,POSCAR_Mn2N2_3_z050,1.077095,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,19,2600,0.640003277589132,95.16016417992546,POSCAR_Mn2N2_3_z025,1.030581,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,20,2597,0.6343096142209061,96.20788645013818,POSCAR_Mn2N2_3_st050,0.943564,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,21,1216,0.6308804070440814,97.68679837671877,POSCAR_Cr2O2_2_z950,1.367022,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,22,1217,0.6285508492717837,97.96622963873372,POSCAR_Cr2O2_2_z975,1.279056,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,23,1209,0.6252184670707512,98.50351425466819,POSCAR_Cr2O2_2,1.196253,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,24,1212,0.6157948586439963,100.84927973857067,POSCAR_Cr2O2_2_st950,1.604422,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,25,1210,0.6133761457267952,100.8670780469366,POSCAR_Cr2O2_2_st025,1.02415,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,26,1213,0.6032536042546514,103.31650956058823,POSCAR_Cr2O2_2_st975,1.387752,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,27,1211,0.6001670630254259,103.51875985080547,POSCAR_Cr2O2_2_st050,0.866297,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,28,1215,0.5792070439232372,107.91063749635704,POSCAR_Cr2O2_2_z050,1.041263,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,29,2074,0.5097379027806637,118.61667662333927,POSCAR_Fe2O2_8_st950,1.097725,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,30,3114,0.5069857488574241,121.57680590600634,POSCAR_Mo2Se2_1_st950,1.037507,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,31,2075,0.49685145187514856,120.77606959560926,POSCAR_Fe2O2_8_st975,0.989544,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,32,2078,0.4926988739485082,121.32462963054306,POSCAR_Fe2O2_8_z950,0.896546,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,33,2641,0.49007202700679653,122.9602677187785,POSCAR_Mn2O2_6_st950,0.761793,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,34,3115,0.48877109582583356,125.2626005448729,POSCAR_Mo2Se2_1_st975,0.975994,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,35,2079,0.48718982636740327,122.22962732215086,POSCAR_Fe2O2_8_z975,0.872848,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,36,3694,0.485513292143953,123.88786430295588,POSCAR_Ru2S2_2_st950,0.27415,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,37,3119,0.48401038878711833,126.04609273478646,POSCAR_Mo2Se2_1_z975,0.8931,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,38,2071,0.4811232233409253,123.25408570976164,POSCAR_Fe2O2_8,0.885788,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,39,3118,0.4770500101614945,127.09318932143,POSCAR_Mo2Se2_1_z950,0.874903,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,40,2642,0.47600955745748885,125.38811714015617,POSCAR_Mn2O2_6_st975,0.80736,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,41,723,0.47533837711537597,124.49577922123497,POSCAR_C2Fe2_3_x950,0.760905,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,42,2645,0.47455535625806045,124.88551066141687,POSCAR_Mn2O2_6_z950,0.82362,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,43,2076,0.47344978446187325,124.41684636812107,POSCAR_Fe2O2_8_z025,0.880531,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,44,1345,0.4711935410569221,134.44309532920573,POSCAR_Cr2S2_2_st050,0.524222,1.0,top5_4coordination
