#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   2.21319     -7.113391     -7.733510
   2.24649     -7.021773     -7.812416
   2.27980     -6.935935     -7.886456
   2.31311     -6.858127     -7.953975
   2.34641     -6.789313     -8.010334
   2.37972     -6.729495     -8.037620
   2.41303     -6.678083     -8.034032
   2.44633     -6.634309     -8.024638
   2.47964     -6.597631     -8.016068
   2.51295     -6.568038     -8.009340
   2.54625     -6.546325     -8.004598
   2.57956     -6.535337     -8.001793
   2.61287     -6.534124     -8.000864
 
# Band-Index:    6
   2.61287     -6.523756     -6.365611
   2.57956     -6.526145     -6.367290
   2.54625     -6.525601     -6.372175
   2.51295     -6.520344     -6.379839
   2.47964     -6.512392     -6.389668
   2.44633     -6.502144     -6.400956
   2.41303     -6.489796     -6.413000
   2.37972     -6.475545     -6.425148
   2.34641     -6.459652     -6.436830
   2.31311     -6.442499     -6.447560
   2.27980     -6.424664     -6.456951
   2.24649     -6.407031     -6.464687
   2.21319     -6.390933     -6.470547
   2.17988     -6.378064     -6.474391
   2.14657     -6.369814     -6.476209
   2.11327     -6.366091     -6.476130
   2.07996     -6.365364     -6.474450
   2.04665     -6.365887     -6.471624
   2.01334     -6.366439     -6.468220
   1.98004     -6.366352     -6.464809
   1.94673     -6.365300     -6.461841
   1.91342     -6.363127     -6.459511
   1.88012     -6.359771     -6.457737
   1.84681     -6.355205     -6.456166
   1.81350     -6.349433     -6.454224
   1.78020     -6.342511     -6.451143
   1.74689     -6.334553     -6.445942
   1.71358     -6.325756     -6.437461
   1.68028     -6.316393     -6.424787
   1.64697     -6.306809     -6.407942
   1.61366     -6.297390     -6.388223
   1.58035     -6.288559     -6.367643
   1.54705     -6.280747     -6.348079
   1.51374     -6.274409     -6.330898
   1.48043     -6.269954     -6.316872
   1.44713     -6.267557     -6.306256
   1.41382     -6.266931     -6.298857
   1.38051     -6.267342     -6.294175
   1.34721     -6.267964     -6.291647
   1.31390     -6.268237     -6.290849
   1.31390     -6.268237     -6.290849
   1.28021     -6.268279     -6.290913
   1.24652     -6.268655     -6.291188
   1.21283     -6.270136     -6.291946
   1.17914     -6.273952     -6.293558
   1.14545     -6.281155     -6.296385
   1.11176     -6.291877     -6.300650
   1.07807     -6.305299     -6.306338
   1.04438     -6.320246     -6.313204
   1.01069     -6.335478     -6.320818
   0.97700     -6.349893     -6.328658
   0.94331     -6.362657     -6.336189
   0.90962     -6.373373     -6.342944
   0.87593     -6.382139     -6.348587
   0.84224     -6.389435     -6.352952
   0.80855     -6.395984     -6.356008
   0.77486     -6.402594     -6.357836
   0.74117     -6.409982     -6.358575
   0.70748     -6.418637     -6.358406
   0.67379     -6.428601     -6.357539
   0.64011     -6.439441     -6.356237
   0.60642     -6.450374     -6.354897
   0.57273     -6.460486     -6.354101
   0.53904     -6.468945     -6.354746
   0.50535     -6.475111     -6.358005
   0.47166     -6.478581     -6.364995
   0.43797     -6.479169     -6.376106
   0.40428     -6.476889     -6.390691
   0.37059     -6.471895     -6.407476
   0.33690     -6.464433     -6.425192
   0.30321     -6.454845     -6.442859
   0.26952     -6.443536     -6.459756
   0.23583     -6.430985     -6.475393
   0.20214     -6.417758     -6.489415
   0.16845     -6.404507     -6.501577
   0.13476     -6.391982     -6.511688
   0.10107     -6.381001     -6.519556
   0.06738     -6.372390     -6.524832
   0.03369     -6.366879     -6.525608
   0.00000     -6.364980     -6.523108
 
# Band-Index:    7
   0.00000     -5.789942     -6.010476
   0.03369     -5.788698     -6.010688
   0.06738     -5.785219     -6.011668
   0.10107     -5.780227     -6.013994
   0.13476     -5.774821     -6.018126
   0.16845     -5.770461     -6.024683
   0.20214     -5.769179     -6.034648
   0.23583     -5.774294     -6.049275
   0.26952     -5.791418     -6.069325
   0.30321     -5.825613     -6.093703
   0.33690     -5.873607     -6.119340
   0.37059     -5.927055     -6.142652
   0.40428     -5.980037     -6.160713
   0.43797     -6.029503     -6.171459
   0.47166     -6.073935     -6.173622
   0.50535     -6.112603     -6.166957
   0.53904     -6.145237     -6.152485
   0.57273     -6.171821     -6.132032
   0.60642     -6.192486     -6.107601
   0.64011     -6.207447     -6.081151
   0.67379     -6.217029     -6.054967
   0.70748     -6.221761     -6.032441
   0.74117     -6.222476     -6.018385
   0.77486     -6.220325     -6.016436
   0.80855     -6.216618     -6.025154
   0.84224     -6.212599     -6.040238
   0.87593     -6.209243     -6.058285
   0.90962     -6.207174     -6.077276
   0.94331     -6.206677     -6.096053
   0.97700     -6.207730     -6.113879
   1.01069     -6.210072     -6.130248
   1.04438     -6.213253     -6.144750
   1.07807     -6.216664     -6.157078
   1.11176     -6.219554     -6.167053
   1.14545     -6.221090     -6.174629
   1.17914     -6.220684     -6.179964
   1.21283     -6.218538     -6.183400
