#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  30
# Band-Index:    1
   1.08447    -18.665566    -18.281809
   1.05516    -18.664640    -18.284183
   1.02585    -18.663382    -18.287525
   0.99654    -18.661722    -18.291690
   0.96723    -18.659752    -18.296768
   0.93792    -18.657512    -18.302734
   0.90861    -18.654958    -18.309478
   0.87930    -18.652151    -18.316989
   0.84999    -18.648992    -18.325095
   0.82068    -18.645592    -18.333828
   0.79137    -18.641931    -18.343071
   0.76206    -18.638174    -18.352901
   0.73275    -18.634232    -18.363120
   0.70344    -18.630181    -18.373722
   0.67413    -18.625974    -18.384540
   0.64482    -18.621801    -18.395698
   0.61551    -18.617513    -18.406903
   0.58620    -18.613207    -18.418163
   0.55689    -18.608945    -18.429440
   0.52758    -18.604707    -18.440631
   0.49827    -18.600654    -18.451787
   0.46896    -18.596664    -18.462663
   0.43965    -18.592782    -18.473243
   0.41034    -18.589035    -18.483463
   0.38103    -18.585452    -18.493261
   0.35172    -18.582033    -18.502556
   0.32241    -18.578870    -18.511370
   0.29310    -18.575909    -18.519587
   0.26379    -18.573183    -18.527165
   0.23448    -18.570703    -18.534055
   0.20517    -18.568483    -18.540238
   0.17586    -18.566514    -18.545635
   0.14655    -18.564925    -18.550349
   0.11724    -18.563559    -18.554187
   0.08793    -18.562422    -18.557119
   0.05862    -18.561635    -18.559253
   0.02931    -18.561155    -18.560531
   0.00000    -18.560953    -18.560907
 
# Band-Index:    3
   0.00000     -9.726114     -9.725726
   0.02931     -9.724137     -9.723860
   0.05862     -9.718191     -9.718262
   0.08793     -9.708316     -9.708965
   0.11724     -9.694549     -9.696014
   0.14655     -9.676946     -9.679466
   0.17586     -9.655592     -9.659411
   0.20517     -9.630585     -9.635955
   0.23448     -9.602038     -9.609220
   0.26379     -9.570089     -9.579347
   0.29310     -9.534886     -9.546497
   0.32241     -9.496600     -9.510847
   0.35172     -9.455419     -9.472592
   0.38103     -9.411562     -9.431963
   0.41034     -9.365247     -9.389180
   0.43965     -9.316720     -9.344498
   0.46896     -9.266248     -9.298185
   0.49827     -9.214113     -9.250525
   0.52758     -9.160616     -9.201817
   0.55689     -9.106083     -9.152377
   0.58620     -9.050836     -9.102514
   0.61551     -8.995222     -9.052558
   0.64482     -8.939604     -9.002846
   0.67413     -8.884352     -8.953712
   0.70344     -8.829842     -8.905495
   0.73275     -8.776456     -8.858523
   0.76206     -8.724582     -8.813132
   0.79137     -8.674601     -8.769655
   0.82068     -8.626895     -8.728442
   0.84999     -8.581825     -8.689935
   0.87930     -8.539744     -8.654985
   0.90861     -8.500981     -8.626912
   0.93792     -8.465832     -8.613124
   0.96723     -8.434567     -8.607299
   0.99654     -8.407407     -8.603536
   1.02585     -8.384543     -8.600729
   1.05516     -8.366154     -8.598627
   1.08447     -8.352480     -8.597149
   1.11378     -8.343910     -8.596268
   1.14309     -8.340961     -8.595973
   1.14309     -8.598963     -8.340603
   1.17240     -8.599274     -8.343548
   1.20171     -8.600227     -8.352111
   1.23102     -8.601839     -8.365767
   1.26033     -8.604166     -8.384116
   1.28964     -8.607354     -8.406919
   1.31895     -8.611802     -8.434002
   1.34826     -8.618864     -8.465180
   1.37757     -8.633039     -8.500236
   1.40688     -8.658915     -8.538912
   1.43619     -8.692530     -8.580916
   1.46550     -8.730388     -8.625923
   1.49481     -8.771242     -8.673587
   1.52412     -8.814499     -8.723543
   1.55343     -8.859739     -8.775411
   1.58274     -8.906600     -8.828806
   1.61205     -8.954735     -8.883342
   1.64136     -9.003802     -8.938636
   1.67067     -9.053454     -8.994300
   1.69998     -9.103360     -9.049967
   1.72929     -9.153180     -9.105271
   1.75860     -9.202586     -9.159866
   1.78791     -9.251256     -9.213414
   1.81722     -9.298878     -9.265598
   1.84653     -9.345157     -9.316115
   1.87584     -9.389806     -9.364681
   1.90515     -9.432559     -9.411033
   1.93446     -9.473166     -9.454926
   1.96377     -9.511384     -9.496125
   1.99308     -9.547009     -9.534433
   2.02239     -9.579833     -9.569647
   2.05170     -9.609688     -9.601615
   2.08101     -9.636401     -9.630170
   2.11032     -9.659836     -9.655180
   2.13963     -9.679877     -9.676542
   2.16894     -9.696413     -9.694149
   2.19825     -9.709359     -9.707922
   2.22756     -9.718650     -9.717802
   2.25687     -9.724242     -9.723740
   2.28618     -9.726114     -9.725726
   2.28618     -9.726114     -9.725726
   2.30253     -9.724284     -9.723897
   2.31888     -9.718824     -9.718437
   2.33523     -9.709730     -9.709342
   2.35158     -9.697025     -9.696637
   2.36793     -9.680751     -9.680361
   2.38428     -9.660954     -9.660563
   2.40063     -9.637679     -9.637287
   2.41698     -9.610992     -9.610596
   2.43333     -9.580963     -9.580563
   2.44968     -9.547671     -9.547266
   2.46603     -9.511206     -9.510795
   2.48238     -9.471651     -9.471234
   2.49873     -9.429115     -9.428694
   2.51508     -9.383702     -9.383270
   2.53143     -9.335528     -9.335081
   2.54778     -9.284696     -9.284234
   2.56413     -9.231349     -9.230865
   2.58048     -9.175615     -9.175111
   2.59683     -9.117604     -9.117069
   2.61318     -9.057476     -9.056898
   2.62953     -8.995384     -8.994743
   2.64588     -8.931503     -8.930755
   2.66222     -8.866061     -8.865104
   2.67857     -8.799605     -8.798044
   2.69492     -8.739920     -8.733542
   2.71127     -8.729174     -8.726076
   2.72762     -8.726712     -8.724223
   2.74397     -8.724861     -8.722596
   2.76032     -8.723244     -8.721099
   2.77667     -8.721787     -8.719726
