filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Bi4V2_2_st050,2.822,-2.822,-0.0,True
POSCAR_Bi4V2_2_st950,2.685,-2.685,0.0,True
POSCAR_Bi4V2_2_st975,2.724,-2.724,0.0,True
POSCAR_Bi6Cr2_1,4.138,-4.137,-0.004,True
POSCAR_Bi6Cr2_1_st025,4.17,-4.168,-0.001,True
POSCAR_Bi6Cr2_3,4.146,-4.146,0.0,True
POSCAR_Bi6Cr2_3_st025,4.177,-4.177,0.001,True
POSCAR_Bi6Cr2_3_st050,4.204,-4.204,0.001,True
POSCAR_Bi6Cr2_3_st950,4.069,-4.068,0.003,True
POSCAR_Bi6Cr2_3_st975,4.111,-4.111,0.002,True
POSCAR_Bi6Cr2_4,4.136,-4.138,0.0,True
POSCAR_Bi6Cr2_4_st975,4.101,-4.103,-0.004,True
POSCAR_Bi6Fe2_1,3.09,-3.089,0.001,True
POSCAR_Bi6Fe2_1_st025,3.147,-3.145,0.003,True
POSCAR_Bi6Fe2_1_st950,2.948,-2.947,0.001,True
POSCAR_Bi6Fe2_1_st975,3.025,-3.023,0.002,True
POSCAR_Bi6Fe2_2,3.161,-3.161,-0.001,True
POSCAR_Bi6Fe2_2_st025,3.199,-3.199,-0.001,True
POSCAR_Bi6Fe2_2_st050,3.233,-3.233,0.001,True
POSCAR_Bi6Fe2_2_st950,3.06,-3.06,-0.0,True
POSCAR_Bi6Fe2_2_st975,3.116,-3.115,0.004,True
POSCAR_Bi8Co2_1,1.348,-1.349,0.003,True
POSCAR_Bi8Cr2_1,4.095,-4.095,-0.0,True
POSCAR_Bi8Cr2_1_st025,4.132,-4.132,-0.0,True
POSCAR_Bi8Cr2_1_st050,4.163,-4.163,0.001,True
POSCAR_Bi8Cr2_1_st950,3.983,-3.983,-0.001,True
POSCAR_Bi8Cr2_1_st975,4.045,-4.045,0.001,True
POSCAR_Bi8Fe2_1,3.105,-3.106,-0.004,True
POSCAR_Bi8Fe2_1_st025,3.167,-3.167,-0.0,True
POSCAR_Bi8Fe2_1_st050,3.22,-3.22,0.001,True
POSCAR_Bi8Fe2_1_st950,2.949,-2.949,-0.001,True
POSCAR_Bi8Fe2_1_st975,3.036,-3.037,-0.003,True
POSCAR_Bi8Ru2_1,1.266,-1.267,0.0,True
POSCAR_Bi8Ru2_1_st025,1.81,-1.807,0.003,True
POSCAR_Bi8Ru2_1_st050,1.867,-1.867,-0.001,True
POSCAR_Bi8Ru2_1_x025,1.404,-1.403,0.003,True
POSCAR_Bi8Ru2_1_x050,1.514,-1.513,0.002,True
POSCAR_Bi8Ru2_1_x950,0.888,-0.973,-0.091,False
POSCAR_Bi8Ru2_1_x975,1.127,-1.128,0.001,True
POSCAR_Bi8Ru2_1_y025,1.379,-1.354,0.042,False
POSCAR_Bi8Ru2_1_y050,1.573,-1.573,-0.0,True
