filename,ion1 tot
POSCAR_Bi2V2_1_z050,2.738
POSCAR_Bi2V2_1_z950,2.654
POSCAR_Bi2V2_1_z975,2.674
POSCAR_Bi3Fe2_1,3.344
POSCAR_Bi3Fe2_1_st025,3.375
POSCAR_Bi3Fe2_1_st050,3.227
POSCAR_Bi3Fe2_1_x025,3.347
POSCAR_Bi3Fe2_1_x050,3.347
POSCAR_Bi3Fe2_1_x950,3.299
POSCAR_Bi3Fe2_1_x975,3.328
POSCAR_Bi3Mn2_1,4.479
POSCAR_Bi3Mn2_1_st025,4.531
POSCAR_Bi3Mn2_1_st050,4.573
POSCAR_Bi3Mn2_1_st975,4.417
POSCAR_Bi3Mn2_1_x025,4.497
POSCAR_Bi3Mn2_1_x050,4.512
POSCAR_Bi3Mn2_1_x950,4.437
POSCAR_Bi3Mn2_1_x975,4.46
POSCAR_Bi3Mn2_1_y025,4.497
POSCAR_Bi3Mn2_1_y050,4.512
POSCAR_Bi3Mn2_1_y950,4.436
POSCAR_Bi3Mn2_1_y975,4.46
POSCAR_Bi3Mn2_1_z025,4.497
POSCAR_Bi3Mn2_1_z050,4.513
POSCAR_Bi3Mn2_1_z950,4.434
POSCAR_Bi3Mn2_1_z975,4.458
POSCAR_Bi4Cr2_1,4.015
POSCAR_Bi4Cr2_1_st025,4.062
POSCAR_Bi4Cr2_1_st050,4.101
POSCAR_Bi4Cr2_1_st950,3.889
POSCAR_Bi4Cr2_1_st975,3.957
POSCAR_Bi4Cr2_1_x025,4.018
POSCAR_Bi4Cr2_1_x050,4.027
POSCAR_Bi4Cr2_1_x950,4.007
POSCAR_Bi4Cr2_1_x975,4.012
POSCAR_Bi4Cr2_1_y025,4.039
POSCAR_Bi4Cr2_1_y050,4.063
POSCAR_Bi4Cr2_1_y950,3.965
POSCAR_Bi4Cr2_1_y975,3.99
POSCAR_Bi4Cr2_1_z025,4.037
POSCAR_Bi4Cr2_1_z050,4.056
POSCAR_Bi4Cr2_1_z950,3.965
POSCAR_Bi4Cr2_1_z975,3.991
POSCAR_Bi4Fe2_1,3.234
POSCAR_Bi4Fe2_1_st025,3.273
POSCAR_Bi4Fe2_1_st050,3.305
POSCAR_Bi4Fe2_1_x025,3.249
POSCAR_Bi4Fe2_1_x050,3.265
POSCAR_Bi4Fe2_1_x975,3.216
POSCAR_Bi4Fe2_1_y950,3.198
POSCAR_Bi4Fe2_1_y975,3.215
POSCAR_Bi4Fe2_1_z025,3.244
POSCAR_Bi4Fe2_1_z050,3.249
POSCAR_Bi4Fe2_1_z950,3.201
POSCAR_Bi4Fe2_1_z975,3.22
POSCAR_Bi4V2_1,2.663
POSCAR_Bi4V2_1_st050,2.735
POSCAR_Bi4V2_1_x050,2.66
POSCAR_Bi4V2_1_x950,2.63
POSCAR_Bi4V2_1_y025,2.649
POSCAR_Bi4V2_1_y950,2.63
POSCAR_Bi4V2_1_z025,2.742
POSCAR_Bi4V2_1_z050,2.766
POSCAR_Bi4V2_1_z975,2.646
POSCAR_Bi4V2_2,2.759
POSCAR_Bi4V2_2_st025,2.792
POSCAR_Bi4V2_2_st050,2.822
POSCAR_Bi4V2_2_st950,2.685
POSCAR_Bi4V2_2_st975,2.724
POSCAR_Bi4V2_2_x025,2.761
POSCAR_Bi4V2_2_x050,2.764
POSCAR_Bi4V2_2_x950,2.759
POSCAR_Bi4V2_2_x975,2.759
POSCAR_Bi4V2_2_y025,2.777
POSCAR_Bi4V2_2_y050,2.795
POSCAR_Bi4V2_2_y950,2.722
POSCAR_Bi4V2_2_y975,2.741
POSCAR_Bi4V2_2_z025,2.773
POSCAR_Bi4V2_2_z050,2.785
POSCAR_Bi4V2_2_z950,2.726
POSCAR_Bi4V2_2_z975,2.744
POSCAR_Bi6Cr2_1,4.138
POSCAR_Bi6Cr2_1_st025,4.17
POSCAR_Bi6Cr2_1_x025,4.154
POSCAR_Bi6Cr2_1_x975,4.122
POSCAR_Bi6Cr2_1_y025,4.146
POSCAR_Bi6Cr2_1_y950,4.126
POSCAR_Bi6Cr2_1_z050,4.158
POSCAR_Bi6Cr2_1_z975,4.127
POSCAR_Bi6Cr2_3,4.146
POSCAR_Bi6Cr2_3_st025,4.177
POSCAR_Bi6Cr2_3_st050,4.204
POSCAR_Bi6Cr2_3_st950,4.069
POSCAR_Bi6Cr2_3_st975,4.111
POSCAR_Bi6Cr2_3_x025,4.155
POSCAR_Bi6Cr2_3_x050,4.163
POSCAR_Bi6Cr2_3_x950,4.123
POSCAR_Bi6Cr2_3_x975,4.137
POSCAR_Bi6Cr2_3_y025,4.156
POSCAR_Bi6Cr2_3_y050,4.163
POSCAR_Bi6Cr2_3_y950,4.123
POSCAR_Bi6Cr2_3_y975,4.137
POSCAR_Bi6Cr2_3_z025,4.16
POSCAR_Bi6Cr2_3_z050,4.172
POSCAR_Bi6Cr2_3_z950,4.117
POSCAR_Bi6Cr2_3_z975,4.133
POSCAR_Bi6Cr2_4,4.136
POSCAR_Bi6Cr2_4_st975,4.101
POSCAR_Bi6Cr2_4_x050,4.153
POSCAR_Bi6Cr2_4_x950,4.115
POSCAR_Bi6Cr2_4_y025,4.144
POSCAR_Bi6Cr2_4_y050,4.152
POSCAR_Bi6Cr2_4_y975,4.126
POSCAR_Bi6Cr2_4_z050,4.161
POSCAR_Bi6Cr2_4_z950,4.106
POSCAR_Bi6Cr2_4_z975,4.119
POSCAR_Bi6Fe2_1,3.09
POSCAR_Bi6Fe2_1_st025,3.147
POSCAR_Bi6Fe2_1_st950,2.948
POSCAR_Bi6Fe2_1_st975,3.025
POSCAR_Bi6Fe2_1_x025,3.121
POSCAR_Bi6Fe2_1_x050,3.142
POSCAR_Bi6Fe2_1_x950,3.034
POSCAR_Bi6Fe2_1_x975,3.061
POSCAR_Bi6Fe2_1_y025,3.105
POSCAR_Bi6Fe2_1_y050,3.118
POSCAR_Bi6Fe2_1_y950,3.057
POSCAR_Bi6Fe2_1_y975,3.075
POSCAR_Bi6Fe2_1_z025,3.105
POSCAR_Bi6Fe2_1_z050,3.12
POSCAR_Bi6Fe2_1_z950,3.057
POSCAR_Bi6Fe2_1_z975,3.076
POSCAR_Bi6Fe2_2,3.161
POSCAR_Bi6Fe2_2_st025,3.199
POSCAR_Bi6Fe2_2_st050,3.233
POSCAR_Bi6Fe2_2_st950,3.06
POSCAR_Bi6Fe2_2_st975,3.116
POSCAR_Bi6Fe2_2_x050,3.188
POSCAR_Bi6Fe2_2_x950,3.124
POSCAR_Bi6Fe2_2_x975,3.142
POSCAR_Bi6Fe2_2_y050,3.188
POSCAR_Bi6Fe2_2_y950,3.121
POSCAR_Bi6Fe2_2_y975,3.143
POSCAR_Bi6Fe2_2_z025,3.171
POSCAR_Bi6Fe2_2_z050,3.179
POSCAR_Bi6Fe2_2_z950,3.135
POSCAR_Bi6Fe2_2_z975,3.145
POSCAR_Bi8Co2_1,1.348
POSCAR_Bi8Co2_1_y025,1.428
POSCAR_Bi8Co2_1_y050,1.492
POSCAR_Bi8Co2_1_y950,1.126
POSCAR_Bi8Cr2_1,4.095
POSCAR_Bi8Cr2_1_st025,4.132
