mag_atom_name,structure,fermi_level,gamma_avg_meV,band_number,max_split_eV,kx,ky,kz,ion1_tot,ion2_tot,overall_tot
Ag,POSCAR_Cl4Nb2_1_x950,4.5202,0.701,27,0.272087,0,0.428571,0,2.426,-2.426,0
Ag,POSCAR_Cl4Nb2_1_x975,4.3335,0.802,27,0.251996,0,0.428571,0,2.445,-2.445,0
Ag,POSCAR_Cl4Nb2_1_y025,3.7008,19.449,27,0.249803,0,0.428571,0.5,2.479,-2.476,0.001
Ag,POSCAR_Cl4Nb2_1_y050,3.4774,34.414,27,0.261475,0,0.428571,0.5,2.495,-2.489,0.002
Ag,POSCAR_Cl4Nb2_1_y950,4.6324,35.532,27,0.357274,0,0.428571,0,2.421,-2.427,-0.001
Ag,POSCAR_Cl4Nb2_1_y975,4.2463,17.507,27,0.294267,0,0.428571,0,2.442,-2.445,-0.001
Ag,POSCAR_Cl4Nb2_1_z025,3.602,16.592,27,0.257408,0,0.428571,0,2.506,-2.509,-0.001
Ag,POSCAR_Cl4Nb2_1_z050,3.3799,32.21,27,0.27725,0,0.428571,0,2.546,-2.553,-0.003
Ag,POSCAR_Cl4Nb2_1_z950,4.5425,37.472,27,0.338229,0,0.428571,0.5,2.358,-2.352,0.001
Ag,POSCAR_Cl4Nb2_1_z975,4.3826,19.503,27,0.285744,0,0.428571,0.5,2.412,-2.409,0
Ag,POSCAR_Cl4Nb2_2_x025,3.5568,0.043,25,0.135925,0,0.285714,0.285714,2.64,-2.64,0
Ag,POSCAR_Cl4Nb2_2_x050,3.3114,0.038,27,0.109074,0.3,0.285714,0.285714,2.66,-2.66,0
Ag,POSCAR_Cl4Nb2_2_x950,4.5604,0.038,25,0.180548,0.1,0.285714,0.285714,2.578,-2.578,0
Ag,POSCAR_Cl4Nb2_2_x975,4.1988,0.038,25,0.163502,0,0.285714,0.285714,2.6,-2.6,0
Ag,POSCAR_Cl4Nb2_2_y025,3.6057,0.026,25,0.137152,0,0.285714,0.285714,2.642,-2.642,0
Ag,POSCAR_Cl4Nb2_2_y050,3.3594,0.106,25,0.126348,0,0.285714,0.285714,2.663,-2.663,0
Ag,POSCAR_Cl4Nb2_2_y950,4.4981,0.045,25,0.174528,0,0.285714,0.285714,2.573,-2.573,0
Ag,POSCAR_Cl4Nb2_2_y975,4.1327,0.037,25,0.161192,0,0.285714,0.285714,2.597,-2.597,0
Ag,POSCAR_Cl4Nb2_2_z025,3.5955,0.037,25,0.13724,0,0.285714,0.285714,2.642,-2.642,0
Ag,POSCAR_Cl4Nb2_2_z050,3.2907,0.466,25,0.126539,0,0.285714,0.285714,2.663,-2.663,0
Ag,POSCAR_Cl4Nb2_2_z950,4.5064,0.019,25,0.174297,0,0.285714,0.285714,2.573,-2.573,0
Ag,POSCAR_Cl4Nb2_2_z975,4.1325,0.022,25,0.161077,0,0.285714,0.285714,2.597,-2.597,0
Ag,POSCAR_Cl6Mn2_1_x025,0.7066,30.623,26,0.39608,-0.285714,-0.428571,0.142857,4.178,-4.151,0.008
Ag,POSCAR_Cl6Mn2_1_x975,1.1009,29.176,26,0.323878,0.285714,0,0.428571,4.049,-4.08,-0.009
Ag,POSCAR_Cl6Mn2_1_y025,0.7124,19.381,26,0.31947,-0.285714,-0.285714,0.142857,4.131,-4.147,-0.005
Ag,POSCAR_Cl6Mn2_1_y050,0.4651,35.961,34,0.299064,0.428571,0.142857,0.428571,4.148,-4.18,-0.009
Ag,POSCAR_Cl6Mn2_1_y950,1.4041,36.21,27,0.393578,-0.428571,0.428571,0.142857,4.077,-4.048,0.009
Ag,POSCAR_Cl6Mn2_1_y975,1.0615,17.168,26,0.359175,-0.285714,-0.428571,0.142857,4.096,-4.081,0.004
Ag,POSCAR_Cl6Mn2_1_z025,0.5804,16.502,26,0.334313,0.285714,0,0.428571,4.144,-4.158,-0.004
Ag,POSCAR_Cl6Mn2_1_z050,0.4055,28.696,26,0.331611,0.285714,-0.142857,0.428571,4.176,-4.204,-0.008
Ag,POSCAR_Cl6Mn2_1_z950,1.5108,24.373,26,0.344276,0.285714,0.428571,0,4.059,-4.034,0.008
Ag,POSCAR_Cl6Mn2_1_z975,1.2184,13.883,26,0.34153,-0.285714,-0.428571,0.142857,4.086,-4.073,0.004
Ag,POSCAR_Cl6Nb2_1_x025,1.6907,11.672,33,0.179456,0.428571,0,0.166667,1.72,-1.719,0.002
Ag,POSCAR_Cl6Nb2_1_x050,1.3996,22.547,34,0.16663,0.428571,0.428571,0.5,1.729,-1.729,0.004
Ag,POSCAR_Cl6Nb2_1_x950,2.5687,14.729,33,0.202737,-0.428571,-0.428571,0.333333,1.683,-1.681,0.001
Ag,POSCAR_Cl6Nb2_1_x975,2.2519,7.752,33,0.193386,-0.428571,-0.428571,0.333333,1.696,-1.695,0
Ag,POSCAR_Cl6Nb2_1_y025,1.6786,11.165,33,0.17692,0.428571,0,0.166667,1.72,-1.72,-0.001
Ag,POSCAR_Cl6Nb2_1_y050,1.359,18.45,33,0.170907,-0.428571,-0.428571,0.333333,1.731,-1.731,-0.002
Ag,POSCAR_Cl6Nb2_1_y975,2.2681,9.799,33,0.187295,0.428571,-0.142857,0.166667,1.695,-1.695,0.002
Ag,POSCAR_Cl6Nb2_1_z025,1.726,9.238,33,0.172583,-0.428571,-0.428571,0.333333,1.746,-1.745,0.001
Ag,POSCAR_Cl6Nb2_1_z050,1.2851,9.614,33,0.170124,0.428571,0.428571,0.333333,1.779,-1.777,0.002
Ag,POSCAR_Cl6Nb2_1_z950,2.5747,9.069,33,0.216265,0.428571,0,0.166667,1.615,-1.615,-0.001
Ag,POSCAR_Cl6Nb2_1_z975,2.2234,6.857,33,0.20183,0.428571,0,0.166667,1.665,-1.664,0
Ag,POSCAR_Cl6Pd2_1_x025,0.5286,12.412,31,0.147138,-0.285714,0.142857,0.333333,0.497,-0.499,0
Ag,POSCAR_Cl6Pd2_1_x050,0.3284,22.001,23,0.160806,0.428571,0,0.166667,0.517,-0.519,0
Ag,POSCAR_Cl6Pd2_1_x950,1.4391,25.26,31,0.171942,0.142857,-0.285714,0.333333,0.436,-0.432,0
Ag,POSCAR_Cl6Pd2_1_x975,1.1323,13.804,31,0.152561,0.142857,-0.285714,0.333333,0.457,-0.455,0
Ag,POSCAR_Cl6Pd2_1_y025,0.5285,12.428,31,0.145737,0.142857,-0.285714,0.333333,0.499,-0.498,0
Ag,POSCAR_Cl6Pd2_1_y050,0.3283,22.12,23,0.159912,0,0.428571,0.166667,0.519,-0.517,0
Ag,POSCAR_Cl6Pd2_1_y950,1.4387,25.547,31,0.174377,-0.285714,0.142857,0.333333,0.431,-0.436,0
Ag,POSCAR_Cl6Pd2_1_y975,1.1331,14.004,31,0.154736,-0.285714,0.142857,0.333333,0.455,-0.457,0
Ag,POSCAR_Cl6Pd2_1_z025,0.6114,0.692,31,0.134424,-0.285714,0.142857,0.333333,0.48,-0.48,0
Ag,POSCAR_Cl6Pd2_1_z050,0.344,0.745,25,0.146978,0,0.428571,0.5,0.483,-0.483,0
Ag,POSCAR_Cl6Pd2_1_z950,1.3611,0.586,31,0.161832,-0.285714,0.142857,0.333333,0.474,-0.474,0
Ag,POSCAR_Cl6Pd2_1_z975,1.1255,0.656,31,0.149897,-0.285714,0.142857,0.333333,0.476,-0.476,0
Ag,POSCAR_Cl6Pd2_2_x025,1.7955,10.815,30,0.229865,0.428571,0,0.5,0.434,-0.437,-0.001
Ag,POSCAR_Cl6Pd2_2_x050,1.536,21.162,31,0.239267,-0.428571,0.285714,0.166667,0.438,-0.449,-0.003
Ag,POSCAR_Cl6Pd2_2_x950,2.5877,17.153,30,0.278752,-0.428571,0.428571,0.5,0.42,-0.416,0.001
Ag,POSCAR_Cl6Pd2_2_x975,2.3052,10.055,30,0.260079,-0.428571,0.428571,0.5,0.425,-0.424,0
Ag,POSCAR_Cl6Pd2_2_y025,1.7424,8.62,31,0.253626,0.285714,0,0.166667,0.44,-0.438,0.003
Ag,POSCAR_Cl6Pd2_2_y050,1.4959,20.69,31,0.261105,-0.428571,0.285714,0.166667,0.45,-0.452,0
Ag,POSCAR_Cl6Pd2_2_y950,2.7139,17.51,31,0.245221,-0.428571,0.428571,0,0.409,-0.417,-0.001
Ag,POSCAR_Cl6Pd2_2_y975,2.3794,11.13,30,0.248794,0.428571,0,0.5,0.42,-0.422,-0.001
Ag,POSCAR_Cl6Pd2_2_z025,1.7866,0.582,30,0.24689,0.428571,0,0.5,0.461,-0.461,0
Ag,POSCAR_Cl6Pd2_2_z050,1.5041,0.567,21,0.222453,-0.142857,0.142857,0.333333,0.486,-0.486,0
Ag,POSCAR_Cl6Pd2_2_z950,2.7544,0.522,31,0.402267,-0.428571,0.142857,0.333333,0.321,-0.32,0.001
Ag,POSCAR_Cl6Pd2_2_z975,2.3914,0.706,31,0.331124,-0.428571,0.285714,0.166667,0.386,-0.386,-0.001
Ag,POSCAR_Co2F4_1_x025,1.46,0.506,20,0.477174,-0.153846,-0.222222,0.222222,2.775,-2.775,0
Ag,POSCAR_Co2F4_1_x050,1.1198,0.486,20,0.46945,-0.230769,-0.333333,0.333333,2.78,-2.78,0
Ag,POSCAR_Co2F4_1_x950,2.525,0.477,21,0.31185,-0.230769,-0.222222,0.222222,2.748,-2.748,0
Ag,POSCAR_Co2F4_1_x975,2.1887,0.473,21,0.337486,-0.230769,-0.222222,0.222222,2.756,-2.756,0
Ag,POSCAR_Co2F4_1_y025,1.6127,0.508,21,0.341145,-0.230769,-0.222222,0.222222,2.767,-2.767,0
Ag,POSCAR_Co2F4_1_y050,1.2771,0.555,21,0.321763,-0.230769,-0.222222,0.222222,2.77,-2.77,0
Ag,POSCAR_Co2F4_1_y950,2.3252,0.326,20,0.479961,0.230769,-0.222222,0.222222,2.761,-2.761,0
Ag,POSCAR_Co2F4_1_y975,1.9992,0.446,20,0.507519,0.230769,-0.222222,0.222222,2.766,-2.766,0
Ag,POSCAR_Co2F4_1_z025,1.6187,0.428,21,0.340785,-0.230769,-0.222222,0.222222,2.767,-2.767,0
Ag,POSCAR_Co2F4_1_z050,1.2857,0.374,21,0.321023,-0.230769,-0.222222,0.222222,2.77,-2.77,0
Ag,POSCAR_Co2F4_1_z950,2.3295,0.572,20,0.485982,0.230769,-0.222222,0.222222,2.761,-2.761,0
Ag,POSCAR_Co2F6_1_x025,-1.3221,22.711,23,0.267317,0.375,0.125,0.5,3.188,-3.188,0
Ag,POSCAR_Co2F6_1_x050,-1.6539,37.084,23,0.251371,0.375,0.125,0.5,3.187,-3.189,0.001
Ag,POSCAR_Co2F6_1_x950,-0.6092,39.953,28,0.298063,0.25,-0.125,0.25,3.182,-3.18,0
Ag,POSCAR_Co2F6_1_x975,-0.921,23.605,28,0.317588,0.125,-0.125,0.25,3.185,-3.184,-0.001
Ag,POSCAR_Co2F6_1_y025,-1.431,23.609,23,0.267637,0.125,0.375,0.5,3.188,-3.188,-0.001
Ag,POSCAR_Co2F6_1_y050,-1.6502,38.392,21,0.251184,0.25,0,0.25,3.189,-3.188,-0.001
Ag,POSCAR_Co2F6_1_y950,-0.6121,39.573,28,0.305477,-0.125,0.25,0.25,3.18,-3.182,0
Ag,POSCAR_Co2F6_1_y975,-0.9296,22.644,28,0.317468,-0.125,0.125,0.25,3.184,-3.185,0
Ag,POSCAR_Co2F6_1_z025,-1.4674,4.441,23,0.259898,0.125,0.375,0.5,3.188,-3.188,0
Ag,POSCAR_Co2F6_1_z050,-1.6522,5.15,20,0.268445,0.375,0.125,0,3.188,-3.188,0
Ag,POSCAR_Co2F6_1_z950,-0.5297,2.475,27,0.321827,0.5,-0.125,0.25,3.181,-3.181,0
Ag,POSCAR_Co2F6_1_z975,-0.8323,2.961,27,0.283201,0.5,-0.125,0.125,3.185,-3.185,0
Ag,POSCAR_Co2Ge2_1_x025,8.0306,0.691,23,0.443204,0.25,0.083333,0.375,1.194,-1.194,0
Ag,POSCAR_Co2Ge2_1_x050,7.7444,0.711,23,0.468445,0.333333,-0.083333,0.375,1.263,-1.264,-0.001
Ag,POSCAR_Co2Ge2_1_x950,9.1091,0.926,23,0.432027,-0.083333,-0.25,0.375,1.082,-1.081,0.002
Ag,POSCAR_Co2Ge2_1_x975,8.7388,0.922,23,0.408616,-0.25,0.333333,0.375,1.114,-1.115,0
Ag,POSCAR_Co2Ge2_1_y025,8.0558,0.846,23,0.449002,-0.25,0.333333,0.375,1.177,-1.178,0
Ag,POSCAR_Co2Ge2_1_y050,7.7394,0.913,23,0.477012,-0.25,0.333333,0.375,1.208,-1.207,0.001
Ag,POSCAR_Co2Ge2_1_y975,8.7231,0.85,23,0.404701,0.25,0.083333,0.375,1.124,-1.124,0
Ag,POSCAR_Co2Ge2_1_z025,8.1182,0.794,23,0.405355,0.25,0.083333,0.375,1.191,-1.192,-0.001
Ag,POSCAR_Co2Ge2_1_z050,7.8398,0.715,23,0.380359,0.25,0.083333,0.375,1.232,-1.233,-0.001
Ag,POSCAR_Co2Ge2_1_z950,8.5698,0.987,23,0.079842,-0.333333,0.333333,0.25,0.109,-0.107,0.001
Ag,POSCAR_Co2Ge2_1_z975,8.6581,0.671,23,0.417956,-0.333333,0.25,0.375,1.102,-1.103,0
Ag,POSCAR_Co2N2_1_x025,7.0704,4.743,13,0.80015,0,-0.357143,0.25,1.409,-1.41,0
Ag,POSCAR_Co2N2_1_x050,6.7478,7.404,13,0.775497,0,-0.357143,0.25,1.555,-1.556,0.001
Ag,POSCAR_Co2N2_1_x950,8.1189,4.341,13,0.705061,-0.357143,0,0.25,0.908,-0.908,0
Ag,POSCAR_Co2N2_1_y025,7.079,2.735,13,0.811564,0,-0.357143,0.25,1.402,-1.405,-0.003
Ag,POSCAR_Co2N2_1_y050,6.7484,4.127,13,0.766978,0,-0.357143,0.25,1.539,-1.539,0
Ag,POSCAR_Co2N2_1_y950,8.0993,6.907,13,0.714822,0,0.357143,0.25,0.912,-0.911,0.003
Ag,POSCAR_Co2N2_1_y975,7.7637,5.201,13,0.768119,0,0.357143,0.25,1.076,-1.075,0.002
Ag,POSCAR_Co2N2_1_z025,7.1073,3.371,13,0.714222,0,0.357143,0.25,1.32,-1.322,-0.002
Ag,POSCAR_Co2N2_1_z050,6.8016,3.355,13,0.585749,0,0.357143,0.25,1.387,-1.387,0.001
Ag,POSCAR_Co2N2_1_z975,7.7468,3.778,13,0.769804,0,-0.357143,0.25,1.148,-1.158,-0.01
Ag,POSCAR_Co2N6_1_x025,6.1068,8.959,24,0.02847,-0.071429,0.5,0.4,2.097,-2.104,-0.007
Ag,POSCAR_Co2N6_1_x950,6.9318,5.191,24,0.068617,-0.428571,0.214286,0.2,2.21,-2.204,0.005
Ag,POSCAR_Co2N6_1_x975,6.7082,4.659,24,0.104351,0,0.357143,0,2.218,-2.216,0.004
Ag,POSCAR_Co2N6_1_y025,6.0978,1.986,24,0.011459,0.357143,0.5,0.4,2.107,-2.108,-0.001
Ag,POSCAR_Co2N6_1_y050,6.0088,3.285,24,0.033065,-0.428571,0.142857,0.2,2.254,-2.257,-0.002
Ag,POSCAR_Co2N6_1_y950,6.929,2.431,24,0.024477,-0.285714,-0.142857,0.4,2.206,-2.204,0.003
Ag,POSCAR_Co2N6_1_y975,6.71,2.248,24,0.017137,-0.357143,-0.071429,0.4,2.217,-2.216,0.001
Ag,POSCAR_Co2N6_1_z025,6.1084,0.826,24,0.005492,0.357143,0,0.4,2.285,-2.285,0.001
Ag,POSCAR_Co2N6_1_z050,5.7505,5.631,23,0.042675,0.5,0.5,0,2.344,-2.339,0.007
Ag,POSCAR_Co2N6_1_z950,7.1761,0.849,25,0.006442,0.357143,0.428571,0.4,2.003,-2.003,0
Ag,POSCAR_Co2N6_1_z975,6.8478,2.837,24,0.020679,0.142857,0.5,0.4,2.166,-2.162,0.005
Ag,POSCAR_Co2O2_1_x025,4.6252,0.85,12,0.414121,0.307692,0,0.25,2.631,-2.631,0
Ag,POSCAR_Co2O2_1_x050,4.3764,1.14,12,0.408983,0.307692,0.076923,0.25,2.637,-2.637,0
Ag,POSCAR_Co2O2_1_x950,5.6197,1.144,12,0.377742,0.307692,-0.307692,0.25,2.601,-2.601,0
Ag,POSCAR_Co2O2_1_x975,5.3173,0.929,12,0.413531,0.307692,-0.307692,0.25,2.613,-2.613,0
Ag,POSCAR_Co2O2_1_y025,4.6268,0.854,12,0.414639,0,0.307692,0.25,2.631,-2.631,0
Ag,POSCAR_Co2O2_1_y050,4.3778,1.097,12,0.408888,0.076923,0.307692,0.25,2.637,-2.637,0
Ag,POSCAR_Co2O2_1_y950,5.6178,1.193,12,0.377421,-0.307692,0.307692,0.25,2.601,-2.601,0
Ag,POSCAR_Co2O2_1_y975,5.3164,0.932,12,0.412977,0.307692,-0.307692,0.25,2.613,-2.613,0
Ag,POSCAR_Co2O2_1_z025,4.6039,0.917,12,0.430693,0,0.307692,0.25,2.636,-2.636,0
Ag,POSCAR_Co2O2_1_z050,4.2757,0.948,12,0.452675,-0.076923,0.384615,0.25,2.647,-2.647,0
Ag,POSCAR_Co2O2_1_z950,5.4837,0.922,12,0.373011,-0.076923,0.384615,0.25,2.587,-2.587,0
Ag,POSCAR_Co2O2_1_z975,5.2449,0.914,12,0.382229,-0.307692,0,0.25,2.606,-2.606,0
Ag,POSCAR_Co2P2_4_x025,9.3462,0.871,13,0.182046,0.266667,0.066667,0.166667,0.405,-0.405,0
Ag,POSCAR_Co2P2_4_x050,8.9966,0.683,13,0.22938,0.266667,-0.333333,0.333333,0.5,-0.5,0
Ag,POSCAR_Co2P2_4_x950,10.5234,1.767,13,0.184555,0.333333,-0.266667,0.166667,0.246,-0.24,0.006
Ag,POSCAR_Co2P2_4_x975,10.1033,0.945,13,0.178526,0.333333,-0.266667,0.166667,0.303,-0.303,0
Ag,POSCAR_Co2P2_4_y025,9.346,0.899,13,0.184049,-0.066667,-0.266667,0.166667,0.405,-0.405,0.001
Ag,POSCAR_Co2P2_4_y050,8.9969,0.746,13,0.230508,0.333333,-0.266667,0.333333,0.5,-0.5,0
Ag,POSCAR_Co2P2_4_y950,10.5234,0.925,13,0.1811,0.266667,-0.333333,0.166667,0.245,-0.244,0.001
Ag,POSCAR_Co2P2_4_y975,10.1028,1.071,13,0.176419,-0.266667,0.333333,0.166667,0.304,-0.303,0
Ag,POSCAR_Co2P2_4_z050,9.216,0.891,14,0.281652,0.466667,0,0.333333,1.027,-1.03,-0.002
Ag,POSCAR_Co2P2_4_z975,10.0054,0.796,12,0.151389,0,0.333333,0.333333,0.266,-0.265,0
Ag,POSCAR_Co2Pb2_4_x950,8.3526,1.395,23,0.019873,0.5,0.222222,0.375,1.901,-1.9,0.002
Ag,POSCAR_Co2Pb2_4_y025,7.467,10.206,22,0.163973,0.5,0,0.5,1.962,-1.967,-0.004
Ag,POSCAR_Co2Pb2_4_y950,8.3744,1.044,23,0.006202,0,0.444444,0,1.89,-1.89,0
Ag,POSCAR_Co2Pb2_4_y975,8.0827,1.016,23,0.00553,0,0.444444,0,1.92,-1.92,0
Ag,POSCAR_Co2Pb2_4_z025,7.504,8.429,21,0.041393,0,0,0,1.965,-1.966,-0.004
Ag,POSCAR_Co2Pb2_4_z950,8.4311,4.83,23,0.033744,0.125,0.444444,0.5,1.909,-1.908,0.002
Ag,POSCAR_Co2Pb3_1_x025,6.7888,1.857,31,0.01703,-0.272727,0.285714,0.142857,1.981,-1.981,-0.001
Ag,POSCAR_Co2Pb3_1_x050,6.5249,1.695,31,0.01707,-0.272727,0.285714,0.142857,1.994,-1.994,-0.001
Ag,POSCAR_Co2Pb3_1_x950,7.6328,2.308,31,0.018434,-0.272727,-0.285714,0.142857,1.927,-1.928,-0.003
Ag,POSCAR_Co2Pb3_1_x975,7.348,2.032,31,0.017512,-0.272727,-0.285714,0.142857,1.949,-1.948,0
Ag,POSCAR_Co2Pb3_1_y025,6.8018,2.492,26,0.015126,0.090909,0.142857,0.285714,1.982,-1.981,0.001
Ag,POSCAR_Co2Pb3_1_y050,6.5438,2.557,30,0.014692,0,0.285714,0.142857,1.995,-1.995,0
Ag,POSCAR_Co2Pb3_1_y950,7.6238,1.575,31,0.01557,-0.272727,0.285714,0.142857,1.924,-1.924,0
Ag,POSCAR_Co2Pb3_1_y975,7.3387,1.514,31,0.016964,-0.272727,0.285714,0.142857,1.947,-1.946,0.001
Ag,POSCAR_Co2Pb3_1_z025,6.7839,2.518,31,0.015694,-0.272727,-0.285714,0.142857,1.977,-1.976,0.003
Ag,POSCAR_Co2Pb3_1_z050,6.5293,2.994,30,0.015914,0.454545,0,0.285714,1.988,-1.986,0.003
Ag,POSCAR_Co2Pb3_1_z950,7.6676,2.313,31,0.016432,-0.272727,0.285714,0.142857,1.942,-1.94,0.003
Ag,POSCAR_Co2Pb3_1_z975,7.3627,2.12,31,0.017723,-0.272727,0.285714,0.142857,1.954,-1.956,-0.003
Ag,POSCAR_Co2S2_1_x025,8.2141,4.375,14,0.701414,0.25,0,0.375,1.479,-1.469,0.01
Ag,POSCAR_Co2S2_1_x050,8.355,22.947,15,1.044783,0,-0.333333,0.25,2.257,-2.263,-0.001
Ag,POSCAR_Co2S2_1_y025,8.2062,4.578,14,0.704477,0,-0.25,0.375,1.48,-1.477,0.006
Ag,POSCAR_Co2S2_1_y050,8.3603,5.428,15,1.030444,-0.333333,0,0.25,2.263,-2.263,0
Ag,POSCAR_Co2S2_1_z050,8.4409,1.176,14,1.11311,0.333333,0,0.25,2.293,-2.293,0
Ag,POSCAR_Co2S2_1_z975,8.9806,3.556,12,0.501541,0.25,0,0.125,1.221,-1.221,0.001
Ag,POSCAR_Co2Sb3_1_x025,7.7807,2.544,15,0.007706,-0.1,0.2,0.166667,1.615,-1.614,0.001
Ag,POSCAR_Co2Sb3_1_x050,7.5143,2.498,15,0.008392,-0.1,0.2,0.166667,1.66,-1.66,0
Ag,POSCAR_Co2Sb3_1_x950,8.7386,2.598,15,0.008238,-0.2,0.1,0,1.425,-1.426,-0.002
Ag,POSCAR_Co2Sb3_1_x975,8.3925,2.257,13,0.009078,0,0,0.166667,1.499,-1.499,0
Ag,POSCAR_Co2Sb3_1_y025,7.7801,2.294,14,0.008434,-0.2,0.1,0.333333,1.614,-1.613,0.001
Ag,POSCAR_Co2Sb3_1_y050,7.5137,2.643,15,0.008489,-0.2,0.1,0.166667,1.659,-1.659,0
Ag,POSCAR_Co2Sb3_1_y950,8.7389,2.353,13,0.007248,-0.1,0,0.166667,1.427,-1.427,-0.001
Ag,POSCAR_Co2Sb3_1_y975,8.3924,2.521,13,0.008295,0,0,0.166667,1.5,-1.499,0
Ag,POSCAR_Co2Sb3_1_z025,7.7298,3.191,13,0.00843,0,0,0.166667,1.595,-1.593,0.003
Ag,POSCAR_Co2Sb3_1_z050,7.4067,3.297,10,0.01023,0,0,0.333333,1.62,-1.619,0.001
Ag,POSCAR_Co2Sb3_1_z950,8.7977,3.408,15,0.008606,-0.2,0.1,0.166667,1.476,-1.475,0.002
Ag,POSCAR_Co2Sb3_1_z975,8.4273,3.603,13,0.00909,0,0,0,1.523,-1.523,0
Ag,POSCAR_Co2Se2_3_x025,3.1614,1.119,13,0.400636,0,-0.3,0.285714,2.502,-2.503,0
Ag,POSCAR_Co2Se2_3_x050,2.9259,1.129,13,0.36939,0,-0.3,0.285714,2.512,-2.513,0
Ag,POSCAR_Co2Se2_3_x950,4.1493,1.218,14,0.269651,0.2,0.2,0.285714,2.458,-2.458,0
Ag,POSCAR_Co2Se2_3_x975,3.735,1.115,13,0.249915,0.1,-0.2,0.285714,2.475,-2.476,0
Ag,POSCAR_Co2Se2_3_y025,3.1616,1.012,13,0.400185,-0.3,0,0.285714,2.502,-2.503,0
Ag,POSCAR_Co2Se2_3_y050,2.9264,1.047,13,0.368886,-0.3,0,0.285714,2.512,-2.513,0
Ag,POSCAR_Co2Se2_3_y950,4.1487,1.392,14,0.269626,0.2,0.2,0.285714,2.458,-2.458,0
Ag,POSCAR_Co2Se2_3_y975,3.7345,1.212,13,0.24916,-0.2,0.1,0.285714,2.475,-2.476,0
Ag,POSCAR_Co2Se2_3_z025,3.2119,1.235,13,0.229524,0,0.3,0.428571,2.515,-2.515,0
Ag,POSCAR_Co2Se2_3_z050,3.0089,1.175,13,0.239366,0.1,0.4,0.285714,2.536,-2.536,0
Ag,POSCAR_Co2Se2_3_z950,3.8974,1.324,13,0.239172,0.1,-0.2,0.285714,2.423,-2.424,0
Ag,POSCAR_Co2Se2_3_z975,3.583,1.321,13,0.450301,0,-0.3,0.285714,2.46,-2.46,0
Ag,POSCAR_Co2Se4_1_x025,5.8444,0.393,21,0.72024,-0.181818,-0.222222,0.285714,1.432,-1.433,-0.002
Ag,POSCAR_Co2Se4_1_x050,5.5528,0.299,21,0.725259,-0.181818,-0.222222,0.285714,1.47,-1.471,-0.001
Ag,POSCAR_Co2Se4_1_x950,6.8063,0.203,21,0.6371,-0.181818,-0.222222,0.285714,1.276,-1.277,0
Ag,POSCAR_Co2Se4_1_x975,6.4766,0.177,21,0.672355,-0.181818,-0.222222,0.285714,1.337,-1.337,0
Ag,POSCAR_Co2Se4_1_y025,5.8449,0.257,21,0.713265,-0.181818,-0.222222,0.285714,1.438,-1.438,-0.001
Ag,POSCAR_Co2Se4_1_y050,5.5426,0.215,21,0.68114,-0.181818,-0.222222,0.285714,1.492,-1.492,0
Ag,POSCAR_Co2Se4_1_y950,6.852,0.252,21,0.66554,-0.181818,-0.222222,0.285714,1.284,-1.285,-0.001
Ag,POSCAR_Co2Se4_1_y975,6.4971,0.37,21,0.682238,-0.181818,-0.222222,0.285714,1.335,-1.336,-0.001
Ag,POSCAR_Co2Se4_1_z025,5.7772,0.17,21,0.634598,-0.181818,-0.222222,0.285714,1.468,-1.468,0
Ag,POSCAR_Co2Se4_1_z050,5.4489,0.18,21,0.558679,0.272727,-0.111111,0.285714,1.537,-1.537,0
Ag,POSCAR_Co2Se4_1_z950,6.9182,0.618,21,0.774911,0.181818,-0.222222,0.285714,1.211,-1.214,-0.003
Ag,POSCAR_Co2Se4_1_z975,6.5262,0.21,21,0.742814,0.181818,-0.222222,0.285714,1.301,-1.301,0
Ag,POSCAR_Co2Sn4_2_x025,7.5725,0.138,32,0.271046,0.5,-0.285714,0.285714,0.347,-0.346,0.001
Ag,POSCAR_Co2Sn4_2_x050,7.2498,0.039,32,0.008153,0.5,-0.428571,0.428571,0.003,-0.003,0
Ag,POSCAR_Co2Sn4_2_x950,8.6234,0.117,32,0.188268,0.5,-0.285714,0.285714,0.232,-0.233,-0.001
Ag,POSCAR_Co2Sn4_2_x975,8.2485,0.885,29,0.196925,0,-0.142857,0.428571,0.27,-0.269,0.001
Ag,POSCAR_Co2Sn4_2_z950,8.4517,0.067,32,0.002431,0.5,-0.428571,0.428571,0.001,0,0.001
Ag,POSCAR_Co2Sn4_2_z975,8.1259,0.493,37,0.00659,0.5,0.428571,0.428571,0.002,0.002,0.003
Ag,POSCAR_Co2Tl3_1_x025,6.4954,1.343,28,0.012936,0.5,0,0.5,1.972,-1.971,0.002
Ag,POSCAR_Co2Tl3_1_x050,6.2666,1.317,28,0.012624,0.5,0,0.5,1.978,-1.978,0
Ag,POSCAR_Co2Tl3_1_x950,7.3344,1.457,28,0.013478,0.5,0,0.5,1.937,-1.935,0.003
Ag,POSCAR_Co2Tl3_1_x975,7.0324,1.35,28,0.01384,0.5,0,0.5,1.951,-1.951,0
Ag,POSCAR_Co2Tl3_1_y025,6.4896,1.243,28,0.012817,0.5,0,0.5,1.973,-1.973,0
Ag,POSCAR_Co2Tl3_1_y050,6.2346,1.265,28,0.012216,0.4,0,0,1.985,-1.984,0.001
Ag,POSCAR_Co2Tl3_1_y950,7.3162,1.245,28,0.014423,0.5,0,0.5,1.93,-1.93,0
