name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
FeAs|k150,/scratch/e1398a04/Altermagnetism/FeAs_conv/k150,ok,5.4961,26,1460,48,2608,1446,1.5386230000000003,1.3647790000000004,1.036225,0.865084,0.20685200000000048,0.31312133226549577,0.40380050922106575,1.484834857294507,1.5386230000000003,1.5386230000000003,13,710,0.2777778,-0.3333333,0.2222222,3.845318,5.383941,0.0006858711,EIGENVAL,OUTCAR
FeAs|k200,/scratch/e1398a04/Altermagnetism/FeAs_conv/k200,ok,5.5014,26,3460,48,6168,3428,1.548461,1.3625770000000004,1.0576239999999997,0.82891,0.20559800000000017,0.3144478428504618,0.4047686650702038,1.4640940447644915,1.548461,1.548461,13,1805,0.08333333,-0.375,0.25,5.277367,3.728906,0.0002893519,EIGENVAL,OUTCAR
FeAs|enc600,/scratch/e1398a04/Altermagnetism/FeAs_conv/enc600,ok,5.4891,26,436,48,777,429,1.4027129999999999,1.3486350000000003,1.0429840000000001,0.8052200000000003,0.08855799999999991,0.28178703034519326,0.371175234449763,1.3449036610341096,1.4027129999999999,1.4027129999999999,13,215,-0.3333333,-0.08333333,0.1666667,3.609767,5.01248,0.002314815,EIGENVAL,OUTCAR
FeAs|enc625,/scratch/e1398a04/Altermagnetism/FeAs_conv/enc625,ok,5.4888,26,436,48,777,429,1.4028460000000003,1.3487560000000003,1.0429180000000002,0.8054639999999997,0.08855000000000057,0.28177232354897425,0.3711743471256638,1.3451162986927063,1.4028460000000003,1.4028460000000003,13,215,-0.3333333,-0.08333333,0.1666667,3.609451,5.012297,0.002314815,EIGENVAL,OUTCAR
FeAs|enc700,/scratch/e1398a04/Altermagnetism/FeAs_conv/enc700,ok,5.4887,26,436,48,777,429,1.4029760000000002,1.348881,1.0430030000000001,0.8056209999999995,0.08849099999999988,0.28176185494038636,0.3711805184871456,1.3451313179348479,1.4029760000000002,1.4029760000000002,13,215,-0.3333333,-0.08333333,0.1666667,3.609359,5.012335,0.002314815,EIGENVAL,OUTCAR
FeAs|sig0005,/scratch/e1398a04/Altermagnetism/FeAs_conv/sig0005,ok,5.4884,26,436,48,781,429,1.4025859999999999,1.348957,1.0426609999999998,0.8041520000000002,0.08800000000000008,0.28091430642785703,0.37141345393600167,1.3451984873319325,1.4025859999999999,1.4025859999999999,13,215,-0.3333333,-0.08333333,0.1666667,3.610598,5.013184,0.002314815,EIGENVAL,OUTCAR
FeAs|sig002,/scratch/e1398a04/Altermagnetism/FeAs_conv/sig002,ok,5.4916,26,436,48,769,428,1.405405,1.3493620000000002,1.0418379999999994,0.7870280000000003,0.09423599999999999,0.2836043707346021,0.3716376667337787,1.3489669219206832,1.405405,1.405405,13,215,-0.3333333,-0.08333333,0.1666667,3.606249,5.011654,0.002314815,EIGENVAL,OUTCAR
FeAs|sig005,/scratch/e1398a04/Altermagnetism/FeAs_conv/sig005,ok,5.4928,26,436,48,761,427,1.4085490000000003,1.3538790000000005,1.0402829999999996,0.7823770000000003,0.09892199999999995,0.2837838954631394,0.3702733416310463,1.3540055927089079,1.4085490000000003,1.4085490000000003,13,215,-0.3333333,-0.08333333,0.1666667,3.601519,5.010068,0.002314815,EIGENVAL,OUTCAR
FeAs|tetra,/scratch/e1398a04/Altermagnetism/FeAs_conv/tetra,ok,5.5239,26,436,48,712,421,1.398475,1.3560149999999997,1.0691220000000001,0.8109649999999995,0.06945699999999988,0.282419923667669,0.35638398184176845,1.3080593234448452,1.398475,1.398475,13,130,-0.4166667,0.3333333,0.1666667,5.007046,3.608571,0.002314815,EIGENVAL,OUTCAR
FeAs|ediff1e7,/scratch/e1398a04/Altermagnetism/FeAs_conv/ediff1e7,ok,5.4896,26,436,48,777,429,1.4025410000000003,1.3485049999999998,1.0430920000000001,0.8050129999999998,0.08784999999999998,0.2816776517048002,0.3710067684885857,1.344599517588094,1.4025410000000003,1.4025410000000003,13,215,-0.3333333,-0.08333333,0.1666667,3.610431,5.012972,0.002314815,EIGENVAL,OUTCAR
