#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  20
# Band-Index:    1
   0.02559     -6.090657     -6.091247
   0.05119     -6.085921     -6.086507
   0.07678     -6.078079     -6.078657
   0.10237     -6.067212     -6.067780
   0.12797     -6.053436     -6.053990
   0.15356     -6.036906     -6.037443
   0.17915     -6.017827     -6.018343
   0.20475     -5.996452     -5.996943
   0.23034     -5.973100     -5.973562
   0.25593     -5.948165     -5.948593
   0.28153     -5.922131     -5.922519
   0.30712     -5.895587     -5.895929
   0.33271     -5.869254     -5.869540
   0.35831     -5.843996     -5.844217
   0.38390     -5.820837     -5.820978
   0.40949     -5.800966     -5.801010
   0.43509     -5.785671     -5.785599
   0.46068     -5.776247     -5.776039
   0.48627     -5.773774     -5.773413
   0.51187     -5.778812     -5.778293
   0.53746     -5.791071     -5.790407
   0.56305     -5.809183     -5.808403
   0.58865     -5.830683     -5.829834
   0.61424     -5.852321     -5.851455
   0.63983     -5.870629     -5.869796
   0.66543     -5.882638     -5.881880
   0.69102     -5.886431     -5.885779
   0.71661     -5.881368     -5.880843
   0.74221     -5.867940     -5.867554
   0.76780     -5.847414     -5.847171
   0.79339     -5.821454     -5.821355
   0.81899     -5.791832     -5.791874
   0.84458     -5.760227     -5.760405
   0.87017     -5.728124     -5.728432
   0.89577     -5.696748     -5.697179
   0.92136     -5.667033     -5.667581
   0.94695     -5.639627     -5.640291
   0.97255     -5.614911     -5.615721
   0.99814     -5.594819     -5.596635
   0.99814     -5.930751     -5.930006
   1.02251     -5.933574     -5.932829
   1.04687     -5.941880     -5.941137
   1.07124     -5.955211     -5.954469
   1.09561     -5.972834     -5.972092
   1.11998     -5.993786     -5.993040
   1.14434     -6.016903     -6.016149
   1.16871     -6.040865     -6.040100
   1.19308     -6.064213     -6.063430
   1.21744     -6.085363     -6.084560
   1.24181     -6.102651     -6.101825
   1.26618     -6.114371     -6.113522
   1.29054     -6.118898     -6.118028
   1.31491     -6.114873     -6.113988
   1.33928     -6.101464     -6.100574
   1.36364     -6.078682     -6.077803
   1.38801     -6.047623     -6.046773
   1.41238     -6.010534     -6.009738
   1.43675     -5.970650     -5.969934
   1.46111     -5.931784     -5.931178
   1.48548     -5.897792     -5.897322
   1.50985     -5.871961     -5.871649
   1.53421     -5.856416     -5.856271
   1.55858     -5.851708     -5.851723
   1.58295     -5.856828     -5.856981
   1.60731     -5.869738     -5.870002
   1.63168     -5.888100     -5.888447
   1.65605     -5.909796     -5.910205
   1.68041     -5.933130     -5.933585
   1.70478     -5.956833     -5.957322
   1.72915     -5.979968     -5.980483
   1.75352     -6.001852     -6.002387
   1.77788     -6.021984     -6.022535
   1.80225     -6.039993     -6.040556
   1.82662     -6.055607     -6.056180
   1.85098     -6.068620     -6.069200
   1.87535     -6.078880     -6.079465
   1.89972     -6.086280     -6.086869
   1.92408     -6.090747     -6.091338
   1.94845     -6.092240     -6.092832
   1.94845     -6.092240     -6.092832
   1.96418     -6.091647     -6.092241
   1.97992     -6.089890     -6.090487
   1.99565     -6.087034     -6.087637
   2.01138     -6.083181     -6.083792
   2.02712     -6.078453     -6.079074
   2.04285     -6.072999     -6.073632
   2.05858     -6.066958     -6.067604
   2.07432     -6.060471     -6.061131
   2.09005     -6.053665     -6.054340
   2.10578     -6.046653     -6.047343
   2.12152     -6.039528     -6.040232
   2.13725     -6.032368     -6.033087
   2.15298     -6.025236     -6.025970
   2.16872     -6.018181     -6.018929
   2.18445     -6.011240     -6.012001
   2.20018     -6.004448     -6.005222
   2.21592     -5.997824     -5.998609
   2.23165     -5.991386     -5.992182
   2.24738     -5.985150     -5.985957
   2.26312     -5.979129     -5.979945
   2.27885     -5.973333     -5.974158
   2.29458     -5.967774     -5.968607
   2.31032     -5.962460     -5.963301
   2.32605     -5.957404     -5.958251
   2.34178     -5.952612     -5.953465
   2.35751     -5.948095     -5.948954
   2.37325     -5.943865     -5.944729
   2.38898     -5.939930     -5.940798
   2.40471     -5.936299     -5.937172
   2.42045     -5.932982     -5.933858
   2.43618     -5.929989     -5.930868
   2.45191     -5.927326     -5.928207
   2.46765     -5.925000     -5.925883
   2.48338     -5.923020     -5.923906
   2.49911     -5.921392     -5.922279
   2.51485     -5.920121     -5.921009
   2.53058     -5.919210     -5.920099
   2.54631     -5.918662     -5.919551
   2.56205     -5.918480     -5.919369
   2.56205     -6.561720     -6.561842
   2.60073     -6.544484     -6.544664
   2.63941     -6.504562     -6.504833
   2.67809     -6.459006     -6.459326
   2.71677     -6.414901     -6.415229
   2.75546     -6.372514     -6.372828
   2.79414     -6.330178     -6.330470
   2.83282     -6.286386     -6.286653
   2.87150     -6.240219     -6.240462
   2.91018     -6.191290     -6.191510
   2.94887     -6.139597     -6.139793
   2.98755     -6.085427     -6.085602
   3.02623     -6.029310     -6.029464
   3.06491     -5.971990     -5.972127
   3.10359     -5.914475     -5.914601
   3.14228     -5.858131     -5.858258
   3.18096     -5.804923     -5.805078
   3.21964     -5.757807     -5.758032
   3.25832     -5.720665     -5.721005
   3.29700     -5.696245     -5.696704
   3.33569     -5.683731     -5.684274
   3.37437     -5.680429     -5.681018
   3.41305     -5.684219     -5.684833
   3.45173     -5.693864     -5.694491
   3.49042     -5.708609     -5.709243
   3.52910     -5.727899     -5.728535
   3.56778     -5.751242     -5.751876
   3.60646     -5.778144     -5.778775
   3.64514     -5.808070     -5.808695
   3.68383     -5.840413     -5.841031
   3.72251     -5.874467     -5.875078
   3.76119     -5.909404     -5.910009
   3.79987     -5.944268     -5.944868
   3.83855     -5.977982     -5.978578
   3.87724     -6.009374     -6.009967
   3.91592     -6.037236     -6.037827
   3.95460     -6.060389     -6.060980
   3.99328     -6.077783     -6.078375
   4.03196     -6.088580     -6.089172
   4.07065     -6.092240     -6.092832
   4.07065     -6.092240     -6.092832
   4.09965     -6.090157     -6.090750
   4.12866     -6.084015     -6.084610
   4.15766     -6.074132     -6.074730
   4.18667     -6.060999     -6.061603
   4.21567     -6.045250     -6.045860
   4.24467     -6.027604     -6.028221
   4.27368     -6.008825     -6.009452
   4.30268     -5.989704     -5.990340
   4.33169     -5.971041     -5.971687
   4.36069     -5.953673     -5.954326
   4.38970     -5.938507     -5.939163
   4.41870     -5.926614     -5.927267
   4.44771     -5.919342     -5.919982
   4.47671     -5.918480     -5.919091
   4.50572     -5.926396     -5.926956
   4.53472     -5.946020     -5.946500
   4.56373     -5.980421     -5.980793
   4.59273     -6.031892     -6.032140
   4.62174     -6.100993     -6.101119
   4.65074     -6.186289     -6.186310
   4.67975     -6.284847     -6.284786
   4.70875     -6.392959     -6.392839
   4.73776     -6.506628     -6.506466
   4.76676     -6.621737     -6.621547
   4.79577     -6.733982     -6.733773
   4.82477     -6.838720     -6.838500
   4.85378     -6.930871     -6.930647
   4.88278     -7.005151     -7.004931
   4.91179     -7.056832     -7.056626
   4.94079     -7.082940     -7.082759
   4.96980     -7.083152     -7.083007
   4.99880     -7.059647     -7.059547
   5.02781     -7.016123     -7.016077
   5.05681     -6.956858     -6.956876
   5.08582     -6.886387     -6.886484
   5.11482     -6.809984     -6.810181
   5.14383     -6.735236     -6.735559
   5.17283     -6.675343     -6.675807
   5.20184     -6.651015     -6.651553
   5.20184     -6.474030     -6.474765
   5.23188     -6.500634     -6.501256
   5.26192     -6.566027     -6.566440
