#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   2.24276     -4.537737     -4.537566
   2.27280     -4.540031     -4.539850
   2.30285     -4.540796     -4.540611
 
# Band-Index:    8
   2.30285     -4.247697     -4.249713
   2.27280     -4.246949     -4.248963
   2.24276     -4.244715     -4.246721
   2.21272     -4.241020     -4.243015
   2.18268     -4.235908     -4.237886
   2.15263     -4.229437     -4.231394
   2.12259     -4.221678     -4.223609
   2.09255     -4.212713     -4.214614
   2.06251     -4.202631     -4.204499
   2.03246     -4.191528     -4.193357
   2.00242     -4.179497     -4.181284
   1.97238     -4.166629     -4.168369
   1.94234     -4.153007     -4.154695
   1.91229     -4.138697     -4.140327
   1.88225     -4.123747     -4.125315
   1.85221     -4.108166     -4.109664
   1.82217     -4.050427     -4.052061
   1.79212     -3.971675     -3.973326
   1.76208     -3.881132     -3.882797
   1.73204     -3.778483     -3.780159
   1.70200     -3.664564     -3.666252
   1.67195     -3.542189     -3.543896
   1.64191     -3.418076     -3.419814
   1.61187     -3.307735     -3.309516
   1.58183     -3.241518     -3.243308
   1.55178     -3.243755     -3.245483
   1.52174     -3.296788     -3.298456
   1.49170     -3.372082     -3.373726
   1.46166     -3.454121     -3.455769
   1.43161     -3.535723     -3.537389
   1.40157     -3.613231     -3.614924
   1.37153     -3.684559     -3.686285
   1.34149     -3.748425     -3.750174
   1.31144     -3.733247     -3.733822
   1.28140     -3.718111     -3.718694
   1.25136     -3.705420     -3.706011
   1.22132     -3.695359     -3.695957
   1.19127     -3.688070     -3.688674
   1.16123     -3.683656     -3.684263
   1.13119     -3.682178     -3.682786
   1.13119     -3.682178     -3.682786
   1.10218     -3.683083     -3.683690
   1.07318     -3.685793     -3.686396
   1.04417     -3.690289     -3.690885
   1.01517     -3.696539     -3.697127
   0.98616     -3.704501     -3.705078
   0.95716     -3.714121     -3.714683
   0.92815     -3.725328     -3.725875
   0.89915     -3.701607     -3.703365
   0.87015     -3.636630     -3.638369
   0.84114     -3.568561     -3.570292
   0.81214     -3.501951     -3.503702
   0.78313     -3.446171     -3.448010
   0.75413     -3.418928     -3.420974
   0.72512     -3.435819     -3.438131
   0.69612     -3.485373     -3.487862
   0.66711     -3.545047     -3.547622
   0.63811     -3.602365     -3.604974
   0.60910     -3.652803     -3.655417
   0.58010     -3.695320     -3.697922
   0.55109     -3.730243     -3.732823
   0.52209     -3.758370     -3.760921
   0.49308     -3.780594     -3.783115
   0.46408     -3.797761     -3.800250
   0.43507     -3.810624     -3.813084
   0.40607     -3.819845     -3.822279
   0.37706     -3.826013     -3.828423
   0.34806     -3.829651     -3.832041
   0.31905     -3.831243     -3.833619
   0.29005     -3.831240     -3.833607
   0.26104     -3.830069     -3.832433
   0.23204     -3.828144     -3.830513
   0.20303     -3.825872     -3.828256
   0.17403     -3.823664     -3.826074
   0.14502     -3.821935     -3.824383
   0.11602     -3.821088     -3.823585
   0.08701     -3.821400     -3.823950
   0.05801     -3.822756     -3.825346
   0.02900     -3.824370     -3.826978
   0.00000     -3.825095     -3.827707
 
# Band-Index:    9
   0.00000     -3.729461     -3.730132
   0.02900     -3.725100     -3.725767
   0.05801     -3.711344     -3.712006
   0.08701     -3.686717     -3.687381
   0.11602     -3.649945     -3.650608
   0.14502     -3.600335     -3.600980
   0.17403     -3.537621     -3.538227
   0.20303     -3.461840     -3.462387
   0.23204     -3.373379     -3.373851
   0.26104     -3.273110     -3.273500
   0.29005     -3.162525     -3.162834
   0.31905     -3.043866     -3.044104
   0.34806     -2.920288     -2.920474
   0.37706     -2.796157     -2.796325
   0.40607     -2.677703     -2.677904
   0.43507     -2.574240     -2.574559
   0.46408     -2.499285     -2.499831
   0.49308     -2.467157     -2.468008
   0.52209     -2.481464     -2.482585
   0.55109     -2.531377     -2.532672
   0.58010     -2.602961     -2.604358
   0.60910     -2.686062     -2.687527
   0.63811     -2.773663     -2.775186
   0.66711     -2.859563     -2.861156
   0.69612     -2.935526     -2.937225
   0.72512     -2.986631     -2.988520
   0.75413     -2.989191     -2.991357
   0.78313     -2.931848     -2.934239
   0.81214     -2.831421     -2.833932
   0.84114     -2.707727     -2.710313
   0.87015     -2.572950     -2.575610
   0.89915     -2.435017     -2.437765
   0.92815     -2.300205     -2.303062
   0.95716     -2.174088     -2.177068
   0.98616     -2.061596     -2.064704
   1.01517     -1.966697     -1.969925
   1.04417     -1.891993     -1.895319
   1.07318     -1.838663     -1.842060
   1.10218     -1.806855     -1.810292
   1.13119     -1.796303     -1.799753
   1.13119     -1.796303     -1.799753
   1.16123     -1.798608     -1.802044
   1.19127     -1.805399     -1.808790
   1.22132     -1.816312     -1.819634
   1.25136     -1.830778     -1.834009
   1.28140     -1.848075     -1.851199
   1.31144     -1.867388     -1.870395
   1.34149     -1.887880     -1.890766
   1.37153     -1.908757     -1.911521
   1.40157     -1.929309     -1.931953
   1.43161     -1.948959     -1.951490
   1.46166     -2.109733     -2.110947
   1.49170     -2.299216     -2.300375
   1.52174     -2.471800     -2.472884
   1.55178     -2.611467     -2.612445
   1.58183     -2.689439     -2.690310
   1.61187     -2.688152     -2.688987
   1.64191     -2.632532     -2.633356
   1.67195     -2.554307     -2.555094
   1.70200     -2.471566     -2.472279
   1.73204     -2.395391     -2.395987
   1.76208     -2.335313     -2.335745
   1.79212     -2.301395     -2.301618
   1.82217     -2.303468     -2.303458
   1.85221     -2.347307     -2.347091
   1.88225     -2.430560     -2.430209
   1.91229     -2.543687     -2.543277
   1.94234     -2.674899     -2.674491
   1.97238     -2.813815     -2.813447
   2.00242     -2.952396     -2.952089
   2.03246     -3.084618     -3.084385
   2.06251     -3.206059     -3.205905
   2.09255     -3.313654     -3.313581
   2.12259     -3.405612     -3.405615
   2.15263     -3.481301     -3.481374
   2.18268     -3.541039     -3.541171
   2.21272     -3.585752     -3.585930
   2.24276     -3.616598     -3.616810
   2.27280     -3.634626     -3.634857
   2.30285     -3.640551     -3.640789
 
# Band-Index:   10
   2.30285     -2.078351     -2.079719
   2.27280     -2.078144     -2.079511
   2.24276     -2.077528     -2.078894
   2.21272     -2.076523     -2.077888
   2.18268     -2.075165     -2.076529
   2.15263     -2.073500     -2.074861
   2.12259     -2.071584     -2.072944
   2.09255     -2.069486     -2.070846
   2.06251     -2.067281     -2.068642
   2.03246     -2.065045     -2.066408
   2.00242     -2.062855     -2.064224
   1.97238     -2.060779     -2.062158
   1.94234     -2.058872     -2.060265
   1.91229     -2.057166     -2.058577
   1.88225     -2.055660     -2.057096
   1.85221     -2.054316     -2.055782
   1.82217     -2.053044     -2.054547
   1.79212     -2.051710     -2.053258
   1.76208     -2.050125     -2.051724
   1.73204     -2.048062     -2.049718
   1.70200     -2.045256     -2.046976
   1.67195     -2.041428     -2.043217
   1.64191     -2.036296     -2.038160
   1.61187     -2.029598     -2.031541
   1.58183     -2.021111     -2.023139
   1.55178     -2.010671     -2.012788
   1.52174     -1.998181     -2.000393
   1.49170     -1.983640     -1.985951
   1.46166     -1.967144     -1.969559
   1.43161     -1.911211     -1.912465
   1.40157     -1.708387     -1.709689
   1.37153     -1.504505     -1.505853
   1.34149     -1.302417     -1.303816
   1.31144     -1.250484     -1.251253
   1.28140     -1.236721     -1.237371
   1.25136     -1.223324     -1.223869
   1.22132     -1.211147     -1.211605
   1.19127     -1.201251     -1.201642
